Category,Krabi
0:00,75.03
0:15,72.24
0:30,72.16
0:45,71.94
1:00,71.51
1:15,71.59
1:30,66.68
1:45,66.77
2:00,66.62
2:15,66.56
2:30,66.42
2:45,66.59
3:00,66.54
3:15,66.36
3:30,66.42
3:45,66.44
4:00,66.19
4:15,61.46
4:30,61.56
4:45,61.61
5:00,61.61
5:15,61.9
5:30,61.94
5:45,62.98
6:00,63.36
6:15,63.62
6:30,63.49
6:45,63.44
7:00,63.31
7:15,62.9
7:30,65.06
7:45,65.16
8:00,65.16
8:15,65.62
8:30,70.12
8:45,70.6
9:00,74.57
9:15,73.85
9:30,72.32
9:45,74.52
10:00,75.68
10:15,75.57
10:30,75.52
10:45,75.3
11:00,75.13
11:15,75.47
11:30,78.02
11:45,76.06
12:00,75.84
12:15,75.64
12:30,75.37
12:45,75.69
13:00,75.62
13:15,75.35
13:30,75.09
13:45,75.55
14:00,75.35
14:15,75.38
14:30,75.56
14:45,78.31
15:00,78.17
15:15,77
15:30,76.22
15:45,76.14
16:00,76.04
16:15,75.54
16:30,75.89
16:45,75.64
17:00,
17:15,70.96
17:30,70.62
17:45,70.85
18:00,69.86
18:15,70.99
18:30,71.43
18:45,72.09
19:00,77.62
19:15,78.94
19:30,78.71
19:45,79.02
20:00,78.81
20:15,78.74
20:30,79.01
20:45,78.56
21:00,78.75
21:15,78.35
21:30,78.23
21:45,78.13
22:00,79.16
22:15,79.11
22:30,79.77
22:45,79.55
23:00,79.17
23:15,78.64
23:30,79.17
23:45,75.07
