Category,Krabi
0:00,52.45
0:15,47.86
0:30,48.26
0:45,47.82
1:00,47.55
1:15,48.75
1:30,48.43
1:45,48.51
2:00,48.42
2:15,48.44
2:30,44.54
2:45,44.33
3:00,44.16
3:15,44.13
3:30,44.16
3:45,44.18
4:00,43.99
4:15,44.19
4:30,44.5
4:45,44.38
5:00,44.28
5:15,44.84
5:30,45.31
5:45,45.68
6:00,46.2
6:15,46.86
6:30,45.85
6:45,45.54
7:00,45.21
7:15,50.27
7:30,41.95
7:45,44.65
8:00,47.43
8:15,47.63
8:30,47.61
8:45,49.24
9:00,48.74
9:15,30.4
9:30,30.31
9:45,30.31
10:00,30.77
10:15,31.85
10:30,31.59
10:45,31.44
11:00,31.3
11:15,32.41
11:30,31.01
11:45,28.46
12:00,29.89
12:15,33.46
12:30,33.24
12:45,27.65
13:00,28.67
13:15,28.3
13:30,28.3
13:45,28.3
14:00,28.3
14:15,28.3
14:30,28.3
14:45,28.3
15:00,28.3
15:15,28.3
15:30,28.3
15:45,28.3
16:00,
16:15,28.3
16:30,28.3
16:45,28.3
17:00,28.3
17:15,28.3
17:30,28.3
17:45,28.3
18:00,28.3
18:15,28.3
18:30,28.3
18:45,28.3
19:00,28.3
19:15,28.3
19:30,28.3
19:45,28.3
20:00,28.3
20:15,28.3
20:30,28.3
20:45,28.3
21:00,28.3
21:15,28.3
21:30,28.3
21:45,28.3
22:00,28.3
22:15,28.3
22:30,28.3
22:45,28.3
23:00,28.3
23:15,28.3
23:30,28.3
23:45,28.3
