Category,Krabi
0:00,69.16
0:15,68.91
0:30,68.77
0:45,68.75
1:00,68.44
1:15,65.14
1:30,65.07
1:45,65.14
2:00,65.04
2:15,66.59
2:30,64.75
2:45,60.7
3:00,60.62
3:15,60.7
3:30,60.64
3:45,60.48
4:00,60.48
4:15,60.4
4:30,60.56
4:45,60.57
5:00,60.56
5:15,61.18
5:30,61.05
5:45,61.39
6:00,61.43
6:15,61.79
6:30,62.28
6:45,62.47
7:00,62.1
7:15,61.43
7:30,58.69
7:45,58.22
8:00,58.72
8:15,58.97
8:30,59.54
8:45,66.48
9:00,66.53
9:15,68.19
9:30,68.41
9:45,68.27
10:00,68.49
10:15,70.41
10:30,70.87
10:45,77.72
11:00,77.79
11:15,79.43
11:30,79.65
11:45,73.21
12:00,73.22
12:15,72.55
12:30,71.77
12:45,72.18
13:00,70.78
13:15,71.34
13:30,74.25
13:45,74.71
14:00,75.03
14:15,76.01
14:30,76.93
14:45,76.63
15:00,76.54
15:15,76.41
15:30,76.13
15:45,75.88
16:00,75.75
16:15,75.38
16:30,75.09
16:45,74.87
17:00,72.27
17:15,71.76
17:30,72.01
17:45,71.53
18:00,71.66
18:15,72.17
18:30,72.64
18:45,74.15
19:00,78.91
19:15,78.4
19:30,76.81
19:45,76.67
20:00,76.58
20:15,76.41
20:30,76.81
20:45,76.49
21:00,76.06
21:15,76.2
21:30,75.79
21:45,75.5
22:00,75.39
22:15,78.94
22:30,79.67
22:45,75.49
23:00,74.2
23:15,73.77
23:30,69.76
23:45,69.58
