Category,Krabi
0:00,44.11
0:15,40.09
0:30,40.18
0:45,43.69
1:00,40.21
1:15,43.84
1:30,42.23
1:45,44.59
2:00,43.88
2:15,43.69
2:30,43.65
2:45,39.48
3:00,39.74
3:15,40.06
3:30,41.36
3:45,42.16
4:00,42.18
4:15,42.1
4:30,42.04
4:45,40.43
5:00,40.38
5:15,40.61
5:30,40.66
5:45,41.18
6:00,41.85
6:15,46.59
6:30,47.02
6:45,46.64
7:00,46.64
7:15,45.41
7:30,43.62
7:45,45.34
8:00,44.54
8:15,44.05
8:30,44.29
8:45,48.45
9:00,48.94
9:15,47.01
9:30,50.59
9:45,51.16
10:00,51.35
10:15,51.12
10:30,51.24
10:45,51.97
11:00,54.72
11:15,54.67
11:30,54.63
11:45,54.11
12:00,55.36
12:15,53.54
12:30,54.02
12:45,53.27
13:00,54.3
13:15,51.45
13:30,53.02
13:45,48.05
14:00,51.51
14:15,51.92
14:30,51.75
14:45,51.85
15:00,51.18
15:15,52.45
15:30,52.31
15:45,51.75
16:00,51.48
16:15,51.12
16:30,51.36
16:45,51.72
17:00,53.38
17:15,52.87
17:30,53
17:45,53
18:00,52.85
18:15,52.34
18:30,53.12
18:45,51.71
19:00,58.14
19:15,58.64
19:30,59.02
19:45,59.24
20:00,59.6
20:15,58.64
20:30,58.58
20:45,58.36
21:00,58.6
21:15,58.69
21:30,52.72
21:45,52.48
22:00,52.13
22:15,53.48
22:30,53.39
22:45,55.3
23:00,54.52
23:15,50
23:30,50
23:45,50.08
