Category,Krabi
0:00,86.19
0:15,86.39
0:30,86.38
0:45,86.23
1:00,81.93
1:15,81.85
1:30,81.54
1:45,81.52
2:00,81.35
2:15,81.37
2:30,81.16
2:45,81.29
3:00,81.43
3:15,81.35
3:30,81.51
3:45,81.54
4:00,81.52
4:15,81.44
4:30,81.56
4:45,81.72
5:00,81.89
5:15,81.08
5:30,81.4
5:45,81.61
6:00,81.49
6:15,81.61
6:30,82.11
6:45,81.68
7:00,81.02
7:15,80.71
7:30,80.1
7:45,79.96
8:00,79.5
8:15,79.63
8:30,84.11
8:45,84.81
9:00,89.92
9:15,89.01
9:30,87.18
9:45,86.61
10:00,91.13
10:15,92.71
10:30,90.56
10:45,90.78
11:00,90.97
11:15,90.47
11:30,90.18
11:45,90.95
12:00,90.27
12:15,88.08
12:30,87.29
12:45,87.54
13:00,87.6
13:15,88.23
13:30,88.18
13:45,90.03
14:00,90.39
14:15,90.43
14:30,90.05
14:45,91.92
15:00,89.8
15:15,89.63
15:30,91.71
15:45,92.34
16:00,91.25
16:15,90.11
16:30,80.45
16:45,80.59
17:00,85.97
17:15,86.59
17:30,86.8
17:45,88.49
18:00,85.91
18:15,85.44
18:30,85.96
18:45,86.37
19:00,85.92
19:15,90.77
19:30,89.68
19:45,97.25
20:00,96.82
20:15,96.61
20:30,95.46
20:45,95.39
21:00,95.44
21:15,96.09
21:30,91.38
21:45,90.96
22:00,91.2
22:15,93.6
22:30,93.13
22:45,88.57
23:00,88.01
23:15,88.24
23:30,87.89
23:45,83.02
