Category,Krabi
0:00,82.68
0:15,82.43
0:30,82.45
0:45,78.58
1:00,78.49
1:15,78.29
1:30,77.99
1:45,78.93
2:00,78.21
2:15,78.35
2:30,78.04
2:45,73.75
3:00,72.78
3:15,72.5
3:30,72.48
3:45,72.6
4:00,72.49
4:15,72.58
4:30,72.69
4:45,72.71
5:00,72.58
5:15,73.26
5:30,73.36
5:45,73.56
6:00,74.54
6:15,79.63
6:30,79.85
6:45,80.2
7:00,79.34
7:15,78.78
7:30,78.79
7:45,78.48
8:00,78.03
8:15,77.58
8:30,82.23
8:45,82.31
9:00,81.72
9:15,81.47
9:30,84.1
9:45,81.56
10:00,81.36
10:15,81.85
10:30,84.83
10:45,81.76
11:00,80.82
11:15,81.11
11:30,80.91
11:45,84.29
12:00,81.58
12:15,81.61
12:30,80.78
12:45,81.92
13:00,81.66
13:15,83.55
13:30,85.93
13:45,84.31
14:00,84.27
14:15,84.04
14:30,83.95
14:45,84.37
15:00,83.82
15:15,84.04
15:30,86.21
15:45,86.09
16:00,86.23
16:15,85.81
16:30,86.24
16:45,82.28
17:00,82.32
17:15,82.16
17:30,82.59
17:45,82.9
18:00,84.72
18:15,86.72
18:30,87.48
18:45,91.18
19:00,91.49
19:15,91.44
19:30,91.39
19:45,92.83
20:00,93.43
20:15,92.92
20:30,92.62
20:45,92.43
21:00,88.67
21:15,88.04
21:30,87.78
21:45,88.86
22:00,89.35
22:15,89.48
22:30,89.56
22:45,84.89
23:00,84.14
23:15,84.07
23:30,83.67
23:45,79.58
,
,
