Category,Krabi
0:00,63.84
0:15,63.09
0:30,62.59
0:45,58.54
1:00,58.01
1:15,57.73
1:30,57.59
1:45,57.81
2:00,57.28
2:15,57.21
2:30,52.92
2:45,52.72
3:00,52.97
3:15,53.3
3:30,52.98
3:45,52.89
4:00,52.9
4:15,53.08
4:30,53
4:45,53
5:00,53.17
5:15,53.34
5:30,53.56
5:45,54.24
6:00,54.44
6:15,55.35
6:30,54.68
6:45,49.72
7:00,48.97
7:15,48.96
7:30,49.4225
7:45,48.95
8:00,49.885
8:15,50.82
8:30,54.85
8:45,55.43
9:00,55
9:15,53.99
9:30,53.52
9:45,58.08
10:00,57.98
10:15,58.19
10:30,58.12
10:45,58.16
11:00,59.72
11:15,60.07
11:30,59.95
11:45,59.69
12:00,59.27
12:15,59.16
12:30,59.71
12:45,59.55
13:00,61.29
13:15,60.71
13:30,60.84
13:45,65.04
14:00,64.62
14:15,63.92
14:30,63.78
14:45,63.71
15:00,61.6
15:15,62.82
15:30,61.88
15:45,61.57
16:00,61.71
16:15,61.7
16:30,61.285
16:45,61.69
17:00,60.87
17:15,60.74
17:30,60.66
17:45,62.2
18:00,62.35
18:15,63.18
18:30,64.73
18:45,69.25
19:00,71.12
19:15,72.93
19:30,73.1
19:45,73.77
20:00,73.825
20:15,74.44
20:30,73.88
20:45,73.97
21:00,75.25
21:15,74.75
21:30,74.79
21:45,75.925
22:00,77.06
22:15,76.61
22:30,76.21
22:45,75.66
23:00,74.97
23:15,74.59
23:30,73.83
23:45,73.61
