Category,Krabi
0:00,81
0:15,80.76
0:30,80.53
0:45,76.52
1:00,76.59
1:15,76.44
1:30,76.6
1:45,76.65
2:00,76.65
2:15,76.64
2:30,76.74
2:45,76.7
3:00,76.88
3:15,76.5
3:30,76.54
3:45,76.9
4:00,72.04
4:15,71.83
4:30,72.01
4:45,71.99
5:00,72.28
5:15,72.18
5:30,72.55
5:45,72.88
6:00,72.89
6:15,77.29
6:30,77.6
6:45,77.92
7:00,77.88
7:15,76.99
7:30,76.81
7:45,76.77
8:00,76.67
8:15,82.04
8:30,82.67
8:45,82.79
9:00,87.43
9:15,87.63
9:30,87.62
9:45,88.03
10:00,88.06
10:15,87.62
10:30,91.48
10:45,91.26
11:00,91.75
11:15,91.65
11:30,91.66
11:45,91.76
12:00,91.57
12:15,90.43
12:30,90.43
12:45,90.19
13:00,89.69
13:15,90.65
13:30,90.61
13:45,90.68
14:00,90.83
14:15,90.42
14:30,90.84
14:45,90.76
15:00,91.04
15:15,91.46
15:30,90.73
15:45,94
16:00,93.38
16:15,93.27
16:30,93.78
16:45,93.23
17:00,92.99
17:15,92.94
17:30,93.1
17:45,93.49
18:00,94.96
18:15,96.32
18:30,101.68
18:45,102.03
19:00,102.15
19:15,102.77
19:30,103.11
19:45,102.8
20:00,102.77
20:15,102.6
20:30,102
20:45,101.99
21:00,98.01
21:15,97.44
21:30,97.41
21:45,96.87
22:00,97
22:15,96.63
22:30,96.51
22:45,96.45
23:00,95.97
23:15,91.32
23:30,90.72
23:45,90.63
