Category,Krabi
0:00,63.29
0:15,58.94
0:30,58.22
0:45,58.29
1:00,58.19
1:15,58.09
1:30,54.95
1:45,54.51
2:00,55.07
2:15,54.82
2:30,54.7
2:45,54.16
3:00,53.98
3:15,47.63
3:30,49.82
3:45,49.78
4:00,49.69
4:15,49.79
4:30,49.87
4:45,49.82
5:00,49.75
5:15,50.25
5:30,50.28
5:45,50.24
6:00,50.43
6:15,50.58
6:30,51.28
6:45,50.78
7:00,50.55
7:15,50.17
7:30,50.66
7:45,45.7
8:00,46.13
8:15,50.17
8:30,55.51
8:45,54.37
9:00,59.67
9:15,60.08
9:30,54.89
9:45,59.9
10:00,59.9
10:15,55.49
10:30,63.84
10:45,64.27
11:00,64.74
11:15,63.97
11:30,64.58
11:45,59.13
12:00,64.4
12:15,58.76
12:30,58.68
12:45,64.69
13:00,59.72
13:15,60.8
13:30,61.71
13:45,60.94
14:00,66.06
14:15,65.95
14:30,61.41
14:45,65.84
15:00,61.93
15:15,65.63
15:30,69.98
15:45,70.31
16:00,69.88
16:15,68.5
16:30,68.42
16:45,68.63
17:00,68.47
17:15,68.19
17:30,68.27
17:45,68.38
18:00,68.13
18:15,69.19
18:30,70.17
18:45,70.7
19:00,76.36
19:15,76.22
19:30,76.67
19:45,76.94
20:00,77.07
20:15,76.07
20:30,76.03
20:45,75.81
21:00,75.4
21:15,75.07
21:30,75.05
21:45,74.8
22:00,74.71
22:15,74.51
22:30,70.34
22:45,70.07
23:00,69.85
23:15,66.02
23:30,65.16
23:45,64.75
