Category,Krabi
0:00,80.53
0:15,80.29
0:30,80.45
0:45,80.09
1:00,80.48
1:15,80.27
1:30,79.89
1:45,76.07
2:00,75.99
2:15,75.9
2:30,75.92
2:45,75.96
3:00,75.99
3:15,75.96
3:30,75.87
3:45,75.59
4:00,75.46
4:15,75.54
4:30,75.64
4:45,75.58
5:00,75.81
5:15,75.88
5:30,76.01
5:45,76.13
6:00,76.7
6:15,77.58
6:30,77.18
6:45,77.55
7:00,76.79
7:15,76.03
7:30,76.59
7:45,76.37
8:00,76.71
8:15,80.2
8:30,81.76
8:45,82.62
9:00,86.31
9:15,86.3
9:30,85.85
9:45,85.66
10:00,89.92
10:15,90.07
10:30,89.86
10:45,89.97
11:00,90.5
11:15,90.48
11:30,89.72
11:45,89.41
12:00,90.22
12:15,89.62
12:30,89.72
12:45,88.67
13:00,89.24
13:15,89.22
13:30,89.22
13:45,89.15
14:00,89.43
14:15,91.1
14:30,91.1
14:45,91.67
15:00,91.47
15:15,90.76
15:30,90.67
15:45,90.26
16:00,90.34
16:15,90.23
16:30,90.12
16:45,90.08
17:00,89.85
17:15,90.08
17:30,89.98
17:45,90.01
18:00,90.14
18:15,90.35
18:30,90.8
18:45,90.89
19:00,92.04
19:15,97.96
19:30,98.73
19:45,99.84
20:00,98.27
20:15,97.96
20:30,98.4
20:45,98.55
21:00,98.25
21:15,97.91
21:30,98.02
21:45,97.93
22:00,97.56
22:15,94.02
22:30,93.24
22:45,92.38
23:00,92.12
23:15,92.17
23:30,87.6
23:45,87.39
