Category,Krabi
0:00,66.32
0:15,61.8
0:30,61.96
0:45,61.28
1:00,61.14
1:15,60.59
1:30,59.28
1:45,53.34
2:00,45.66
2:15,54.85
2:30,54.87
2:45,54.83
3:00,54.53
3:15,55.13
3:30,54.24
3:45,54.63
4:00,54.55
4:15,54.49
4:30,47.78
4:45,47.81
5:00,54.55
5:15,55.08
5:30,48.31
5:45,55.28
6:00,55.14
6:15,55.18
6:30,55.87
6:45,55.83
7:00,56.07
7:15,49.26
7:30,55.64
7:45,48.99
8:00,56.37
8:15,49.45
8:30,55.71
8:45,55.65
9:00,60.35
9:15,54.3
9:30,59.42
9:45,59.22
10:00,58.85
10:15,58.57
10:30,59.21
10:45,59.37
11:00,58.68
11:15,59.33
11:30,58.38
11:45,53.85
12:00,59.12
12:15,58.7
12:30,53.6
12:45,58.97
13:00,59.08
13:15,57.73
13:30,58.41
13:45,58.56
14:00,58.88
14:15,58.38
14:30,62.82
14:45,63.29
15:00,63.8
15:15,64.82
15:30,64.65
15:45,64.3
16:00,64.51
16:15,64.34
16:30,63.74
16:45,63.69
17:00,63.7
17:15,63.56
17:30,63.38
17:45,63.51
18:00,63.58
18:15,64.05
18:30,69.58
18:45,70.71
19:00,75.95
19:15,76.59
19:30,76.69
19:45,76.85
20:00,76.53
20:15,77.33
20:30,76.87
20:45,76.87
21:00,76.71
21:15,76.72
21:30,76.36
21:45,75.95
22:00,75.62
22:15,71.91
22:30,72.16
22:45,71.91
23:00,72.22
23:15,67.36
23:30,67.51
23:45,67.17
