Category,Krabi
0:00,70.1
0:15,62.85
0:30,65.69
0:45,63.8
1:00,63.91
1:15,63.35
1:30,62.64
1:45,62.96
2:00,62.85
2:15,54.5
2:30,58.62
2:45,58.46
3:00,53.65
3:15,58.1
3:30,53.21
3:45,58.38
4:00,58.39
4:15,58.34
4:30,58.28
4:45,58.32
5:00,49.02
5:15,54.43
5:30,54.63
5:45,54.83
6:00,54.82
6:15,50.34
6:30,55.61
6:45,55.02
7:00,55.12
7:15,54.71
7:30,56.33
7:45,56.44
8:00,56.38
8:15,56.7
8:30,51.98
8:45,58.29
9:00,58.09
9:15,58.04
9:30,56.49
9:45,61.43
10:00,61.56
10:15,62.15
10:30,57.22
10:45,62.1
11:00,61.72
11:15,61.48
11:30,66.25
11:45,66.52
12:00,65.98
12:15,66.31
12:30,66.91
12:45,66.78
13:00,66.69
13:15,62.86
13:30,66.55
13:45,63.23
14:00,67.08
14:15,63.24
14:30,67.3
14:45,66.9
15:00,66.32
15:15,68.84
15:30,67.79
15:45,67.82
16:00,63.92
16:15,67.87
16:30,67.76
16:45,67.53
17:00,67.26
17:15,63.7
17:30,67.81
17:45,67.4
18:00,67.52
18:15,64.69
18:30,70.88
18:45,71.55
19:00,76.33
19:15,77.59
19:30,77.85
19:45,78.79
20:00,78.65
20:15,79.09
20:30,79.2
20:45,79
21:00,77.32
21:15,78.35
21:30,78.35
21:45,78.2
22:00,78.17
22:15,78.3
22:30,78.15
22:45,74.1
23:00,70.16
23:15,73.44
23:30,73.17
23:45,72.89
