Category,Krabi
0:00,40.57
0:15,40.39
0:30,40.3
0:45,40.56
1:00,40.35
1:15,41.06
1:30,40.9
1:45,41.1
2:00,41.15
2:15,37.3
2:30,37.61
2:45,38.46
3:00,38.49
3:15,38.39
3:30,38.39
3:45,37.9
4:00,37.74
4:15,37.79
4:30,37.71
4:45,37.16
5:00,36.45
5:15,36.59
5:30,36.75
5:45,37
6:00,38.22
6:15,42.85
6:30,42.39
6:45,41.9
7:00,42.94
7:15,44.4
7:30,42.99
7:45,42.49
8:00,42.27
8:15,42.6
8:30,42.22
8:45,46.63
9:00,47.7
9:15,47.48
9:30,47.99
9:45,47.56
10:00,52.22
10:15,49.98
10:30,49.28
10:45,49.3
11:00,48.41
11:15,48.88
11:30,48.87
11:45,49.21
12:00,48.54
12:15,44.3
12:30,44.35
12:45,48.11
13:00,48.17
13:15,48.02
13:30,49.18
13:45,48.4
14:00,47.96
14:15,48.09
14:30,48.37
14:45,48.14
15:00,48.16
15:15,48.5
15:30,49.52
15:45,49.61
16:00,49.47
16:15,49.56
16:30,48.53
16:45,48.59
17:00,48.35
17:15,48.53
17:30,47.99
17:45,47.7
18:00,47.13
18:15,48.74
18:30,48.8
18:45,54.7
19:00,55.72
19:15,57.27
19:30,58.67
19:45,61.23
20:00,60.06
20:15,59.64
20:30,59.68
20:45,59.64
21:00,59.24
21:15,59.17
21:30,59.24
21:45,60.05
22:00,59.11
22:15,58.12
22:30,52.4
22:45,52.33
23:00,51.97
23:15,51.86
23:30,51.17
23:45,46.53
