Category,Krabi
0:00,82.28
0:15,82.97
0:30,82.53
0:45,81.91
1:00,81.72
1:15,81.43
1:30,77.01
1:45,77.13
2:00,77.21
2:15,77.74
2:30,77.06
2:45,77.1
3:00,76.93
3:15,77.03
3:30,77.08
3:45,77.11
4:00,76.98
4:15,77.94
4:30,77.91
4:45,77.34
5:00,77.45
5:15,77.69
5:30,78.37
5:45,77.8
6:00,77.89
6:15,78.29
6:30,78.82
6:45,79.16
7:00,79.63
7:15,78.61
7:30,78.61
7:45,78.7
8:00,78.86
8:15,78.73
8:30,79.29
8:45,79.78
9:00,83.69
9:15,82.83
9:30,83.12
9:45,82.79
10:00,82.77
10:15,82.99
10:30,82.64
10:45,82.37
11:00,82.89
11:15,86.23
11:30,86.68
11:45,86.54
12:00,86.39
12:15,86.47
12:30,86.06
12:45,86.75
13:00,87.14
13:15,87.19
13:30,88.42
13:45,88.18
14:00,88.17
14:15,88.02
14:30,87.78
14:45,87.7
15:00,88.32
15:15,88.05
15:30,87.96
15:45,87.61
16:00,88.04
16:15,87.79
16:30,87.9
16:45,87.53
17:00,88.21
17:15,88.07
17:30,87.16
17:45,87.48
18:00,88.03
18:15,93.72
18:30,98.27
18:45,98.1
19:00,98.19
19:15,98.82
19:30,98.72
19:45,98.71
20:00,98.4
20:15,98.65
20:30,98.08
20:45,98.78
21:00,94.27
21:15,94.09
21:30,93.95
21:45,93.66
22:00,93.81
22:15,93.93
22:30,89.6
22:45,89.37
23:00,89.42
23:15,89.15
23:30,84.9
23:45,84.82
