Category,Krabi
0:00,81.6
0:15,77.41
0:30,77.57
0:45,77.89
1:00,76.96
1:15,76.57
1:30,76.97
1:45,77.04
2:00,77.3
2:15,72.74
2:30,72.56
2:45,72.67
3:00,72.58
3:15,72.72
3:30,72.68
3:45,72.47
4:00,72.34
4:15,73.06
4:30,72.46
4:45,72.5
5:00,72.48
5:15,72.94
5:30,73.12
5:45,73.86
6:00,73.6
6:15,74.02
6:30,74.29
6:45,74.57
7:00,73.79
7:15,73.52
7:30,74.25
7:45,74.15
8:00,73.71
8:15,78.48
8:30,79.04
8:45,78.29
9:00,77.6
9:15,77.1
9:30,78.8
9:45,79.55
10:00,81.18
10:15,81.23
10:30,81.34
10:45,80.2
11:00,81.96
11:15,81.15
11:30,81.2
11:45,80.68
12:00,81.59
12:15,82.36
12:30,81.55
12:45,81.68
13:00,81.34
13:15,81.94
13:30,82.82
13:45,82.81
14:00,82.28
14:15,87.19
14:30,86.94
14:45,87.34
15:00,86.7
15:15,86.87
15:30,86.54
15:45,86.37
16:00,86.31
16:15,86.37
16:30,86.17
16:45,86.65
17:00,87
17:15,86.93
17:30,86.95
17:45,86.91
18:00,87.38
18:15,87.98
18:30,89.37
18:45,94.42
19:00,94.72
19:15,94.54
19:30,95.14
19:45,94.78
20:00,95.1
20:15,95.4
20:30,94.9
20:45,94.56
21:00,94.75
21:15,94.52
21:30,94.55
21:45,94.31
22:00,94.09
22:15,89.91
22:30,89.85
22:45,89.4
23:00,89.36
23:15,89.13
23:30,84.22
23:45,84.26
