Category,Krabi
0:00,76.92
0:15,72.97
0:30,72.31
0:45,72.03
1:00,72.32
1:15,72.1
1:30,67.49
1:45,67.32
2:00,67.26
2:15,67.5
2:30,67.31
2:45,67.19
3:00,67.21
3:15,66.62
3:30,66.91
3:45,62.53
4:00,62.13
4:15,62.11
4:30,62.38
4:45,61.98
5:00,62.44
5:15,62.3
5:30,62.65
5:45,63.12
6:00,63.23
6:15,64.03
6:30,65.13
6:45,66.06
7:00,65.22
7:15,65.31
7:30,65.46
7:45,65.85
8:00,65.62
8:15,65.84
8:30,70
8:45,71.02
9:00,70.98
9:15,74.38
9:30,72.63
9:45,72.37
10:00,68.65
10:15,67.5
10:30,66.79
10:45,66.95
11:00,69.67
11:15,68.92
11:30,68.88
11:45,68.66
12:00,68.355
12:15,68.05
12:30,68.31
12:45,68.31
13:00,68.6
13:15,69.69
13:30,69.88
13:45,70.314
14:00,70.766
14:15,66.14
14:30,66.25
14:45,66.36
15:00,66.44
15:15,67.54
15:30,66.77
15:45,66.47
16:00,65.59
16:15,65.98
16:30,65.35
16:45,64.93
17:00,66.03
17:15,61.37
17:30,61.49
17:45,61.41
18:00,62.04
18:15,62.67
18:30,63.44
18:45,71.74
19:00,73.64
19:15,74.32
19:30,74.27
19:45,73.89
20:00,72.66
20:15,72.57
20:30,72.97
20:45,72.85
21:00,72.4
21:15,72.26
21:30,72.08
21:45,71.88
22:00,71.73
22:15,71
22:30,70.57
22:45,70.48
23:00,69.51
23:15,67.775
23:30,66.04
23:45,65.26
