Category,Krabi
0:00,63.22
0:15,58.84
0:30,58.29
0:45,58.36
1:00,58.57
1:15,58.27
1:30,58.24
1:45,58.36
2:00,58.4
2:15,54.26
2:30,54.11
2:45,54.17
3:00,54.3
3:15,54.43
3:30,54.19
3:45,54.56
4:00,54.34
4:15,54.09
4:30,54.19
4:45,54.21
5:00,54.4
5:15,54.14
5:30,55.95
5:45,56.61
6:00,56.89
6:15,57.02
6:30,57.82
6:45,62.34
7:00,51.79
7:15,59.48
7:30,58.4
7:45,60.83
8:00,60.31
8:15,60.41
8:30,53.09
8:45,65.01
9:00,64.09
9:15,62.15
9:30,60.61
9:45,63.02
10:00,62.71
10:15,63.17
10:30,55.69
10:45,53.9
11:00,57.63
11:15,65.61
11:30,65.83
11:45,66.03
12:00,65.17
12:15,66.06
12:30,66.58
12:45,66.47
13:00,66.43
13:15,67.34
13:30,70.46
13:45,70.47
14:00,72.72
14:15,64.9
14:30,64.84
14:45,71.89
15:00,71.6
15:15,64.04
15:30,71.12
15:45,70.48
16:00,70.41
16:15,69.33
16:30,77.28
16:45,76.32
17:00,75.45
17:15,61.76
17:30,75.32
17:45,75.45
18:00,76.41
18:15,77.43
18:30,78.23
18:45,79.49
19:00,79.96
19:15,79.78
19:30,78.78
19:45,67.67
20:00,77.51
20:15,67.79
20:30,66.77
20:45,69.53
21:00,67.93
21:15,68.15
21:30,67.77
21:45,60.03
22:00,63.36
22:15,65.42
22:30,66.88
22:45,61.77
23:00,61.91
23:15,61.4
23:30,55.5
23:45,61.19
