Category,Krabi
0:00,84.38
0:15,84.37
0:30,84.27
0:45,84.29
1:00,80.14
1:15,80.08
1:30,75.47
1:45,75.26
2:00,75.93
2:15,75.97
2:30,75.85
2:45,75.82
3:00,75.92
3:15,75.81
3:30,75.87
3:45,75.79
4:00,75.92
4:15,75.81
4:30,75.7
4:45,75.58
5:00,75.65
5:15,75.98
5:30,76.17
5:45,76.37
6:00,77.07
6:15,81.62
6:30,82.14
6:45,81.85
7:00,81.14
7:15,81.03
7:30,80.45
7:45,80.25
8:00,79.93
8:15,80.36
8:30,84.71
8:45,84.94
9:00,88.52
9:15,84.85
9:30,83.55
9:45,83
10:00,82.95
10:15,85.09
10:30,84.9
10:45,84.5
11:00,84.49
11:15,84.61
11:30,84.58
11:45,84.36
12:00,85.02
12:15,86.45
12:30,86.44
12:45,86.74
13:00,87.19
13:15,85.95
13:30,86.33
13:45,86.39
14:00,86.61
14:15,81.22
14:30,81.31
14:45,81.28
15:00,81.22
15:15,80.9
15:30,80.75
15:45,80.73
16:00,79.38
16:15,79.52
16:30,79.08
16:45,79.08
17:00,78.97
17:15,79.3
17:30,79.38
17:45,79.05
18:00,79.52
18:15,79.08
18:30,79.14
18:45,84.05
19:00,84.58
19:15,84.44
19:30,84.26
19:45,84.06
20:00,83.84
20:15,83.87
20:30,83.51
20:45,85.27
21:00,84.72
21:15,83.13
21:30,82.52
21:45,80.08
22:00,81.7
22:15,82.65
22:30,82.57
22:45,82.41
23:00,81.91
23:15,77.66
23:30,77.59
23:45,77.34
