Category,Krabi
0:00,47.23
0:15,43.21
0:30,43.04
0:45,42.75
1:00,42.21
1:15,43.23
1:30,43.17
1:45,43.16
2:00,43.07
2:15,43.07
2:30,43.03
2:45,43.12
3:00,43.14
3:15,43.25
3:30,43.18
3:45,42.95
4:00,42.98
4:15,42.96
4:30,43.05
4:45,43.45
5:00,43.62
5:15,44.02
5:30,44.21
5:45,43.72
6:00,44.76
6:15,43.85
6:30,44.22
6:45,45.22
7:00,44.98
7:15,45.2
7:30,45.88
7:45,46.1
8:00,44.81
8:15,45.06
8:30,45.5
8:45,49.5
9:00,47.39
9:15,46
9:30,43.98
9:45,43.7
10:00,43.11
10:15,47.22
10:30,47.93
10:45,47.42
11:00,47.42
11:15,47.42
11:30,47.42
11:45,47.42
12:00,47.42
12:15,47.42
12:30,47.42
12:45,47.42
13:00,47.42
13:15,47.42
13:30,47.42
13:45,47.42
14:00,47.42
14:15,47.42
14:30,47.42
14:45,49.9
15:00,50.02
15:15,51.66
15:30,50.01
15:45,49.26
16:00,49.01
16:15,44.95
16:30,44.86
16:45,49.93
17:00,54.15
17:15,49
17:30,49.09
17:45,48.8
18:00,
18:15,52.24
18:30,53.19
18:45,54.01
19:00,58.52
19:15,58.83
19:30,59.23
19:45,59.09
20:00,58.84
20:15,57.62
20:30,57.7
20:45,57.56
21:00,57.32
21:15,57.38
21:30,57.25
21:45,56.59
22:00,57.88
22:15,54.73
22:30,55.17
22:45,53.45
23:00,52.94
23:15,52.55
23:30,47.85
23:45,47.69
