Category,Krabi
0:00,46.01
0:15,42.64
0:30,42.4
0:45,46.15
1:00,45.95
1:15,47.87
1:30,47.8
1:45,48.03
2:00,46.83
2:15,45.19
2:30,45.12
2:45,44.16
3:00,44.67
3:15,39.7
3:30,39.88
3:45,39.76
4:00,40.01
4:15,39.68
4:30,39.75
4:45,39.68
5:00,39.94
5:15,40.15
5:30,40.49
5:45,40.99
6:00,45.19
6:15,46.16
6:30,46.8
6:45,47.19
7:00,47.81
7:15,45.49
7:30,44.47
7:45,44.5
8:00,45.23
8:15,47.63
8:30,46.64
8:45,46.65
9:00,46.46
9:15,46.26
9:30,44.61
9:45,48.86
10:00,48.46
10:15,50.13
10:30,49.96
10:45,47.98
11:00,48.06
11:15,47.39
11:30,47.67
11:45,47.52
12:00,47.75
12:15,47.7
12:30,47.62
12:45,42.74
13:00,36.61
13:15,40.07
13:30,43.04
13:45,42.84
14:00,42.62
14:15,42.61
14:30,43.06
14:45,41.69
15:00,41.7
15:15,41.76
15:30,41.55
15:45,41.72
16:00,41.78
16:15,42.1
16:30,43.79
16:45,44.41
17:00,44.55
17:15,45.19
17:30,44.71
17:45,44.47
18:00,42.73
18:15,44.25
18:30,46.53
18:45,46.23
19:00,46.17
19:15,50.47
19:30,50.64
19:45,51.27
20:00,51.3
20:15,52.27
20:30,52.4
20:45,52.5
21:00,52.58
21:15,48.43
21:30,48.54
21:45,48.31
22:00,48.79
22:15,48.73
22:30,48.78
22:45,48.97
23:00,44.87
23:15,43.86
23:30,43.78
23:45,43.93
