Category,Krabi
0:00,81.63
0:15,81.44
0:30,81.06
0:45,81.01
1:00,77.07
1:15,76.8
1:30,76.83
1:45,76.83
2:00,76.79
2:15,76.99
2:30,76.96
2:45,76.95
3:00,76.88
3:15,76.95
3:30,76.62
3:45,76.63
4:00,76.9
4:15,76.95
4:30,77.07
4:45,77.26
5:00,77.29
5:15,77.48
5:30,77.97
5:45,78.48
6:00,79.06
6:15,79.1
6:30,79.37
6:45,79.31
7:00,78.65
7:15,76.93
7:30,75.89
7:45,75.85
8:00,75.3
8:15,80.03
8:30,79.7
8:45,84.79
9:00,85.24
9:15,84.08
9:30,85.11
9:45,83.03
10:00,83.03
10:15,82.23
10:30,84.04
10:45,83.2
11:00,88.11
11:15,88.43
11:30,87.52
11:45,88.22
12:00,87.81
12:15,87.12
12:30,87.1
12:45,88.25
13:00,89.3
13:15,89.36
13:30,87.9
13:45,89.6
14:00,88.82
14:15,88.96
14:30,88.8
14:45,89.65
15:00,90.75
15:15,91.56
15:30,89.69
15:45,89.38
16:00,89.45
16:15,90.01
16:30,89.68
16:45,89.49
17:00,89.21
17:15,89.1
17:30,89.44
17:45,89.36
18:00,89.39
18:15,94.34
18:30,95.58
18:45,96.09
19:00,96.73
19:15,96.38
19:30,96.54
19:45,95.92
20:00,94.42
20:15,94.5
20:30,94.27
20:45,93.92
21:00,93.49
21:15,93.3
21:30,93.27
21:45,89.13
22:00,93.11
22:15,94.59
22:30,91.67
22:45,91.81
23:00,91.7
23:15,91.09
23:30,91.07
23:45,86.67
