Category,Krabi
0:00,81.29
0:15,81.13
0:30,81.1
0:45,77.13
1:00,76.54
1:15,76.66
1:30,76.66
1:45,76.5
2:00,76.39
2:15,76.13
2:30,76.28
2:45,76.3
3:00,76.28
3:15,76.12
3:30,76.33
3:45,76.13
4:00,75.84
4:15,75.9
4:30,71.83
4:45,72.12
5:00,72.31
5:15,72.56
5:30,72.75
5:45,73.05
6:00,77.78
6:15,78.19
6:30,78.46
6:45,80.09
7:00,79.86
7:15,77.55
7:30,76.84
7:45,77.43
8:00,76.53
8:15,81.17
8:30,80.49
8:45,80.22
9:00,83.87
9:15,84.91
9:30,82.55
9:45,83.67
10:00,85.61
10:15,84.54
10:30,83.94
10:45,84.02
11:00,84.2
11:15,84.04
11:30,84.27
11:45,84.02
12:00,83.87
12:15,84.16
12:30,85.82
12:45,84.52
13:00,83.95
13:15,84.79
13:30,84.91
13:45,85.77
14:00,85.89
14:15,85.39
14:30,89.48
14:45,85.08
15:00,85.25
15:15,92.21
15:30,90.81
15:45,93.76
16:00,93.09
16:15,93.29
16:30,89.78
16:45,85.91
17:00,84.83
17:15,82.95
17:30,80.76
17:45,80.39
18:00,81.4
18:15,82.81
18:30,87.26
18:45,88.61
19:00,89.13
19:15,88.21
19:30,87.97
19:45,87.6
20:00,87.81
20:15,87.06
20:30,86.73
20:45,86.45
21:00,86.14
21:15,86.54
21:30,82.22
21:45,81.87
22:00,87.29
22:15,88.38
22:30,84.14
22:45,83.76
23:00,83.3
23:15,83.34
23:30,79.35
23:45,79.45
