Category,Krabi
0:00,84.8
0:15,84.64
0:30,84.75
0:45,87.83
1:00,82.58
1:15,82.63
1:30,82.62
1:45,82.55
2:00,82.59
2:15,82.15
2:30,82.32
2:45,82.48
3:00,82.28
3:15,82.29
3:30,82.13
3:45,82.31
4:00,82.23
4:15,82.16
4:30,82.27
4:45,82.5
5:00,82.64
5:15,82.86
5:30,83.71
5:45,85.03
6:00,85.29
6:15,85.92
6:30,86.11
6:45,86.1
7:00,86.3
7:15,85.28
7:30,83.22
7:45,82.83
8:00,82.85
8:15,83.2
8:30,83.41
8:45,87.98
9:00,84.79
9:15,84.98
9:30,87.28
9:45,87.04
10:00,86.62
10:15,87.05
10:30,86.6
10:45,84.86
11:00,84.68
11:15,84.31
11:30,84.59
11:45,85.75
12:00,84.26
12:15,84.42
12:30,84.92
12:45,83.66
13:00,83.5
13:15,84.73
13:30,89
13:45,88.75
14:00,87.1
14:15,88.29
14:30,87.94
14:45,89.05
15:00,89.64
15:15,89.46
15:30,89.46
15:45,89.53
16:00,89.01
16:15,88.81
16:30,89.67
16:45,88.96
17:00,84.89
17:15,85.28
17:30,85.38
17:45,85.44
18:00,85.72
18:15,86.17
18:30,90.48
18:45,91.31
19:00,90.71
19:15,93.4
19:30,92.91
19:45,92.82
20:00,92.14
20:15,91.96
20:30,91.96
20:45,91.85
21:00,91.64
21:15,91
21:30,91.03
21:45,90.66
22:00,93.12
22:15,91.01
22:30,90.78
22:45,90.08
23:00,88.92
23:15,84.19
23:30,84.14
23:45,84.4
