Category,Krabi
0:00,45.68
0:15,45.51
0:30,45.39
0:45,45.2
1:00,40.94
1:15,40.91
1:30,40.63
1:45,40.92
2:00,40.87
2:15,41.96
2:30,42.14
2:45,42.3
3:00,42.21
3:15,41.95
3:30,41.78
3:45,41.78
4:00,41.69
4:15,41.82
4:30,41.89
4:45,41.86
5:00,42.38
5:15,42.76
5:30,43.07
5:45,43.27
6:00,44.22
6:15,45.52
6:30,45.27
6:45,44.89
7:00,44.54
7:15,43.54
7:30,42.03
7:45,41.63
8:00,41.23
8:15,45.74
8:30,47.02
8:45,50.66
9:00,50.38
9:15,50.45
9:30,48.15
9:45,46.33
10:00,46.27
10:15,47.49
10:30,47.61
10:45,47.46
11:00,49.56
11:15,47.06
11:30,46.72
11:45,46.91
12:00,47.45
12:15,47.08
12:30,47.14
12:45,48.13
13:00,47.41
13:15,47.98
13:30,48.01
13:45,48.81
14:00,51.5
14:15,51.85
14:30,51.98
14:45,51.55
15:00,51.06
15:15,50.7
15:30,51.94
15:45,51.76
16:00,47.54
16:15,52.09
16:30,51.48
16:45,51.92
17:00,51.43
17:15,52.32
17:30,51.41
17:45,51.64
18:00,51.84
18:15,53.86
18:30,54.81
18:45,55.44
19:00,60.49
19:15,60.39
19:30,61
19:45,60.91
20:00,60.41
20:15,59.2
20:30,58.34
20:45,58.35
21:00,58.55
21:15,58.8
21:30,58.56
21:45,58.82
22:00,54.07
22:15,56.88
22:30,56.89
22:45,56.78
23:00,56.18
23:15,52.16
23:30,51.85
23:45,51.37
