Category,Krabi
0:00,83.33
0:15,79.11
0:30,79.13
0:45,78.92
1:00,78.8
1:15,78.71
1:30,78.56
1:45,78.33
2:00,78.28
2:15,78.32
2:30,73.86
2:45,73.8
3:00,73.84
3:15,73.98
3:30,73.97
3:45,74.22
4:00,74.14
4:15,73.78
4:30,74.8
4:45,74.02
5:00,74.27
5:15,74.6
5:30,75.83
5:45,76.11
6:00,76.52
6:15,77.47
6:30,77.75
6:45,81.8
7:00,81.2
7:15,80.69
7:30,77.72
7:45,73.72
8:00,74.25
8:15,74.15
8:30,77.14
8:45,77.58
9:00,77.59
9:15,79.52
9:30,79.65
9:45,79.95
10:00,83.37
10:15,81.88
10:30,81.86
10:45,82.43
11:00,82.48
11:15,82.25
11:30,82.39
11:45,82.89
12:00,82.5
12:15,81.32
12:30,81.94
12:45,82.56
13:00,82.66
13:15,83.6
13:30,83.64
13:45,85.67
14:00,87.04
14:15,86.31
14:30,91.25
14:45,91.01
15:00,90.05
15:15,90.64
15:30,90.32
15:45,91.06
16:00,90.44
16:15,90.22
16:30,90.75
16:45,90.25
17:00,90.57
17:15,89.96
17:30,90.03
17:45,90.33
18:00,91.17
18:15,91.83
18:30,95.42
18:45,96.26
19:00,97.21
19:15,97.03
19:30,96.95
19:45,97.55
20:00,97.49
20:15,99.1
20:30,98.77
20:45,98.5
21:00,98.54
21:15,94.53
21:30,94.38
21:45,93.52
22:00,94.86
22:15,97.04
22:30,92.01
22:45,92.1
23:00,92.25
23:15,90.93
23:30,87.55
23:45,87.64
