Category,Krabi
0:00,82.52
0:15,78.63
0:30,78.58
0:45,78.33
1:00,78.2
1:15,78.34
1:30,78.27
1:45,77.94
2:00,78.07
2:15,78.11
2:30,73.61
2:45,73.54
3:00,73.22
3:15,73.1
3:30,73.23
3:45,73.23
4:00,73.22
4:15,73.35
4:30,73.7
4:45,73.93
5:00,73.94
5:15,74.02
5:30,74.3
5:45,74.58
6:00,75.2
6:15,76.18
6:30,76.21
6:45,76.47
7:00,76.27
7:15,75.49
7:30,75.52
7:45,79.63
8:00,79.41
8:15,78.75
8:30,82.56
8:45,85.33
9:00,94.95
9:15,94.74
9:30,98.58
9:45,98.41
10:00,98.68
10:15,98.59
10:30,94.71
10:45,95.76
11:00,95.74
11:15,95.91
11:30,96.03
11:45,95.99
12:00,96.69
12:15,96.89
12:30,97.04
12:45,95.62
13:00,99.43
13:15,98.87
13:30,103.1
13:45,103.23
14:00,103.22
14:15,109.46
14:30,105.24
14:45,105.28
15:00,105.45
15:15,105.55
15:30,105.23
15:45,105.34
16:00,87.52
16:15,86.39
16:30,86.49
16:45,86.48
17:00,86.24
17:15,86.67
17:30,86.21
17:45,86.34
18:00,86.88
18:15,88.38
18:30,93.23
18:45,93.26
19:00,93.51
19:15,93.41
19:30,93.3
19:45,93.01
20:00,92.87
20:15,92.4
20:30,91.98
20:45,88.09
21:00,87.66
21:15,87.66
21:30,87.35
21:45,87.14
22:00,85.36
22:15,85.12
22:30,82.41
22:45,82.37
23:00,82.38
23:15,82.02
23:30,81.38
23:45,81.04
