Category,Krabi
0:00,81.44
0:15,81.45
0:30,81.48
0:45,81.01
1:00,76.77
1:15,76.36
1:30,75.78
1:45,75.9
2:00,75.76
2:15,75.43
2:30,75.72
2:45,75.41
3:00,75.51
3:15,75.72
3:30,75.32
3:45,75.39
4:00,75.43
4:15,75.29
4:30,67.16
4:45,67.81
5:00,67.94
5:15,68.43
5:30,72.32
5:45,72.87
6:00,72.74
6:15,77.66
6:30,77.48
6:45,77.32
7:00,76.24
7:15,75.87
7:30,75.91
7:45,75.88
8:00,75.1
8:15,75.67
8:30,79.28
8:45,78.77
9:00,78.85
9:15,80.34
9:30,78.41
9:45,78.57
10:00,78.45
10:15,77.69
10:30,78.13
10:45,78.19
11:00,80.03
11:15,78.43
11:30,78.16
11:45,77.68
12:00,81.15
12:15,79.86
12:30,78.83
12:45,78.98
13:00,78.99
13:15,79.86
13:30,80.11
13:45,80.07
14:00,79.86
14:15,79.75
14:30,81.8
14:45,82.03
15:00,82.35
15:15,82.43
15:30,82.84
15:45,81.84
16:00,82.91
16:15,81.34
16:30,81.34
16:45,80.64
17:00,80.66
17:15,80.5
17:30,79.58
17:45,79.71
18:00,79.68
18:15,84.88
18:30,85.22
18:45,86
19:00,90.34
19:15,90.47
19:30,89.12
19:45,89.02
20:00,89.23
20:15,84.2
20:30,84.6
20:45,84.3
21:00,85.44
21:15,84.45
21:30,84.08
21:45,79.97
22:00,84.07
22:15,86.27
22:30,85.55
22:45,85.97
23:00,81.23
23:15,81.14
23:30,80.71
23:45,80.59
