Category,Krabi
0:00,87.44
0:15,87.58
0:30,83.28
0:45,83.27
1:00,83.21
1:15,83.4
1:30,83.46
1:45,79.23
2:00,79.4
2:15,79.59
2:30,79.59
2:45,79.7
3:00,79.6
3:15,79.69
3:30,79.75
3:45,79.74
4:00,79.73
4:15,79.46
4:30,79.44
4:45,75.13
5:00,75.09
5:15,74.99
5:30,75.02
5:45,74.8
6:00,78.92
6:15,78.42
6:30,82.28
6:45,82.6
7:00,82.84
7:15,83.13
7:30,83.8
7:45,79.62
8:00,79.33
8:15,83
8:30,83
8:45,87.32
9:00,87.14
9:15,87.27
9:30,91.4
9:45,90.81
10:00,90.71
10:15,90.63
10:30,90.55
10:45,90.53
11:00,95.32
11:15,95.57
11:30,95.43
11:45,95.82
12:00,90.95
12:15,94.75
12:30,94.16
12:45,95.27
13:00,93.81
13:15,93.52
13:30,95.19
13:45,94.97
14:00,94.91
14:15,94.78
14:30,94.99
14:45,95.34
15:00,94.11
15:15,93.99
15:30,94.14
15:45,94.17
16:00,84.66
16:15,92.31
16:30,92.61
16:45,92.28
17:00,92.05
17:15,92.34
17:30,91.94
17:45,91.57
18:00,91.25
18:15,96.22
18:30,95.52
18:45,99.65
19:00,99.74
19:15,100.06
19:30,100.42
19:45,100.51
20:00,100.33
20:15,100.31
20:30,100.25
20:45,100.41
21:00,96.58
21:15,96.81
21:30,95.67
21:45,95.33
22:00,95.8
22:15,97.77
22:30,94.02
22:45,93.82
23:00,94.55
23:15,92.91
23:30,88.59
23:45,88.27
