Category,Krabi
0:00,66.5
0:15,65.61
0:30,61.14
0:45,61.1
1:00,60.64
1:15,60.52
1:30,60.34
1:45,60.63
2:00,56.32
2:15,56.53
2:30,56.16
2:45,56.07
3:00,55.71
3:15,57.08
3:30,57.08
3:45,57.04
4:00,57.03
4:15,57.29
4:30,56.99
4:45,56.89
5:00,57.11
5:15,57.43
5:30,57.85
5:45,56.47
6:00,56.7
6:15,57.35
6:30,57.18
6:45,57.62
7:00,57.41
7:15,56.77
7:30,57.34
7:45,57.12
8:00,57.35
8:15,57.41
8:30,57.95
8:45,62.16
9:00,62.48
9:15,66.82
9:30,65.8
9:45,64.98
10:00,64.73
10:15,64.01
10:30,64.23
10:45,64.46
11:00,64.35
11:15,69.68
11:30,64.74
11:45,64.62
12:00,64.57
12:15,65
12:30,65.33
12:45,65.81
13:00,66.17
13:15,67.3
13:30,71.27
13:45,71.36
14:00,72.49
14:15,70.13
14:30,69.53
14:45,71.1
15:00,70.07
15:15,69.02
15:30,68.94
15:45,68.81
16:00,62.5
16:15,67.74
16:30,67.54
16:45,68.73
17:00,67.14
17:15,65
17:30,58.54
17:45,63.21
18:00,63.65
18:15,64.32
18:30,64.8
18:45,69.55
19:00,72.43
19:15,72.92
19:30,74.73
19:45,74.25
20:00,74.19
20:15,74.04
20:30,69.89
20:45,69.44
21:00,69.13
21:15,68.32
21:30,68.26
21:45,67.96
22:00,70.65
22:15,70.95
22:30,66.82
22:45,66.72
23:00,66.81
23:15,67.01
23:30,61.85
23:45,61.96
