Category,Krabi
0:00,84.42
0:15,83.99
0:30,80.02
0:45,79.48
1:00,78.56
1:15,78.47
1:30,78.33
1:45,78.16
2:00,73.28
2:15,73.4
2:30,73.33
2:45,73.08
3:00,73.02
3:15,72.97
3:30,73.01
3:45,72.86
4:00,72.97
4:15,73.02
4:30,73.07
4:45,72.98
5:00,73.02
5:15,72.97
5:30,73.18
5:45,73.41
6:00,74.79
6:15,74.99
6:30,77
6:45,77.1
7:00,76.8
7:15,76.48
7:30,76.25
7:45,76.02
8:00,75.74
8:15,80.07
8:30,80.3
8:45,83.48
9:00,82.73
9:15,85.4
9:30,84.48
9:45,83.63
10:00,85.48
10:15,85.57
10:30,85.57
10:45,87.11
11:00,87.92
11:15,87.87
11:30,88.63
11:45,88.62
12:00,87.2
12:15,87.49
12:30,87.27
12:45,87.2
13:00,86.85
13:15,87.47
13:30,87.55
13:45,87.82
14:00,87.94
14:15,92.24
14:30,93.24
14:45,91.84
15:00,91.9
15:15,91.55
15:30,91.77
15:45,91.45
16:00,91.29
16:15,90.86
16:30,90.05
16:45,90.47
17:00,91.59
17:15,92.01
17:30,91.98
17:45,91.76
18:00,91.96
18:15,91.91
18:30,92.06
18:45,92.36
19:00,92.55
19:15,93.95
19:30,94.89
19:45,94.43
20:00,95.11
20:15,95.08
20:30,94.97
20:45,97.39
21:00,97.62
21:15,96.84
21:30,95.64
21:45,94.94
22:00,94.17
22:15,94.93
22:30,94.16
22:45,93.33
23:00,92.95
23:15,88.27
23:30,87.5
23:45,87.34
