Category,Krabi
0:00,70.96
0:15,70.31
0:30,65.73
0:45,65.7
1:00,69.86
1:15,69.89
1:30,69.92
1:45,66.26
2:00,66.36
2:15,66.32
2:30,66.13
2:45,65.45
3:00,65.45
3:15,59.39
3:30,60.74
3:45,61.06
4:00,54.99
4:15,60.49
4:30,59.37
4:45,60.6
5:00,60.65
5:15,59.78
5:30,60.17
5:45,60.39
6:00,60.86
6:15,57.07
6:30,63.47
6:45,63.16
7:00,62.8
7:15,62.49
7:30,62.29
7:45,61.37
8:00,61.58
8:15,62.11
8:30,64.14
8:45,67.81
9:00,70.01
9:15,69.39
9:30,72.51
9:45,74.07
10:00,74.07
10:15,74.41
10:30,75.31
10:45,74.94
11:00,74.98
11:15,75.18
11:30,75.11
11:45,76.21
12:00,74.98
12:15,75
12:30,75.24
12:45,75.26
13:00,78.7
13:15,75.69
13:30,75.84
13:45,79.47
14:00,78.14
14:15,78.07
14:30,78.72
14:45,79.04
15:00,78.63
15:15,78.45
15:30,78.245
15:45,78.04
16:00,77.99
16:15,79.29
16:30,79.13
16:45,72.34
17:00,72.18
17:15,73.135
17:30,74.09
17:45,66.7
18:00,73.77
18:15,74.79
18:30,74.53
18:45,75.71
19:00,81.17
19:15,81.53
19:30,81.44
19:45,81.82
20:00,83.39
20:15,81.59
20:30,81.75
20:45,80.29
21:00,80.37
21:15,80.47
21:30,80.17
21:45,80.2
22:00,79.81
22:15,81.19
22:30,80.92
22:45,80.9
23:00,80.56
23:15,80.47
23:30,76.34
23:45,76.86
