Category,Krabi
0:00,81.45
0:15,77.24
0:30,77.31
0:45,77.41
1:00,77.08
1:15,76.97
1:30,76.96
1:45,77.02
2:00,76.86
2:15,72.81
2:30,72.79
2:45,72.92
3:00,72.16
3:15,71.66
3:30,71.71
3:45,71.75
4:00,71.72
4:15,71.55
4:30,71.78
4:45,71.95
5:00,72.17
5:15,72.62
5:30,72.82
5:45,73.39
6:00,74.49
6:15,79.6
6:30,79.84
6:45,79.72
7:00,79.66
7:15,79.04
7:30,78.99
7:45,78.26
8:00,77.84
8:15,77.73
8:30,81.71
8:45,82.35
9:00,86.79
9:15,84.68
9:30,82.22
9:45,81.15
10:00,80.15
10:15,80.4
10:30,80.77
10:45,85.54
11:00,84.57
11:15,84.62
11:30,84.7
11:45,84.89
12:00,84.72
12:15,84.76
12:30,84.8
12:45,84.87
13:00,85.4
13:15,86.47
13:30,86.04
13:45,87.01
14:00,87.05
14:15,86.97
14:30,87.7
14:45,86.24
15:00,86.24
15:15,87.63
15:30,87.65
15:45,88.05
16:00,86.23
16:15,86.27
16:30,86.72
16:45,86.86
17:00,84.64
17:15,83.89
17:30,83.8
17:45,83.67
18:00,84.59
18:15,84.59
18:30,85.57
18:45,90.07
19:00,94.6
19:15,93.85
19:30,94.02
19:45,93.78
20:00,95.79
20:15,95.36
20:30,94.06
20:45,93.77
21:00,93.74
21:15,92.96
21:30,89.09
21:45,88.78
22:00,91.33
22:15,93.35
22:30,93.35
22:45,89.66
23:00,88.92
23:15,88.34
23:30,88.2
23:45,87.63
