Category,Krabi
0:00,88.12
0:15,88.11
0:30,83.92
0:45,83.53
1:00,83.06
1:15,83.24
1:30,83.16
1:45,83.29
2:00,83.38
2:15,79.17
2:30,79.11
2:45,78.98
3:00,79.19
3:15,79.07
3:30,79.37
3:45,78.33
4:00,78.16
4:15,78.89
4:30,78.95
4:45,79.21
5:00,79.35
5:15,79.34
5:30,79.51
5:45,79.81
6:00,80.1
6:15,80.21
6:30,80.5
6:45,80.63
7:00,80.06
7:15,80.02
7:30,78.88
7:45,78.8
8:00,78.16
8:15,82.31
8:30,81.43
8:45,85.82
9:00,86.16
9:15,89.54
9:30,89.98
9:45,90.42
10:00,85.68
10:15,85.64
10:30,89.43
10:45,89.22
11:00,89.29
11:15,93.33
11:30,89.24
11:45,89.49
12:00,89.63
12:15,89.54
12:30,89.48
12:45,90.62
13:00,89.76
13:15,90.19
13:30,91.09
13:45,92.24
14:00,91.75
14:15,92.56
14:30,94.43
14:45,92.56
15:00,92.26
15:15,92.39
15:30,94.07
15:45,93.5
16:00,93.59
16:15,94.16
16:30,93.21
16:45,92.14
17:00,92.12
17:15,90.85
17:30,90.91
17:45,91.29
18:00,91.21
18:15,91.27
18:30,97.22
18:45,97.53
19:00,97.45
19:15,97.32
19:30,97.52
19:45,97.33
20:00,97.5
20:15,97.28
20:30,97.14
20:45,97.57
21:00,97.63
21:15,97.36
21:30,95.37
21:45,94.2
22:00,95.34
22:15,97.95
22:30,97.54
22:45,92.51
23:00,93.29
23:15,91.13
23:30,90.4
23:45,86.41
