Category,Krabi
0:00,61.62
0:15,61.45
0:30,56.08
0:45,55.99
1:00,55.38
1:15,55.39
1:30,55.37
1:45,55.71
2:00,55.36
2:15,55.39
2:30,55.55
2:45,55.66
3:00,55.44
3:15,55.48
3:30,47.32
3:45,55.54
4:00,55.55
4:15,55.4
4:30,55.14
4:45,55.29
5:00,47.44
5:15,56.01
5:30,56.54
5:45,56.79
6:00,56.93
6:15,57.22
6:30,57.84
6:45,58.2
7:00,50.48
7:15,56.93
7:30,56.69
7:45,55.97
8:00,55.54
8:15,48.47
8:30,59.47
8:45,53.1
9:00,56.28
9:15,62.53
9:30,62.43
9:45,63.64
10:00,63.62
10:15,63.58
10:30,64.79
10:45,64.13
11:00,63.65
11:15,63.62
11:30,64.73
11:45,63.76
12:00,63.48
12:15,56.1
12:30,62.51
12:45,62.94
13:00,62.23
13:15,62.49
13:30,64.78
13:45,64.9
14:00,65.45
14:15,65.6
14:30,65.39
14:45,65.28
15:00,61.87
15:15,59.67
15:30,65.76
15:45,66.01
16:00,66.11
16:15,65.96
16:30,65.92
16:45,66.09
17:00,65.52
17:15,65.81
17:30,65.71
17:45,65.64
18:00,66.12
18:15,66.82
18:30,63.4
18:45,70.16
19:00,72.87
19:15,72.77
19:30,71.99
19:45,71.34
20:00,70.76
20:15,70.82
20:30,70.35
20:45,71.46
21:00,70.61
21:15,68.39
21:30,68.24
21:45,67.95
22:00,65.78
22:15,69.38
22:30,68.94
22:45,68.76
23:00,64.36
23:15,63.95
23:30,63.68
23:45,63.86
