Category,Krabi
0:00,87.13
0:15,82.76
0:30,82.39
0:45,82.14
1:00,81.82
1:15,81.57
1:30,81.76
1:45,77.8
2:00,77.7
2:15,77.69
2:30,77.16
2:45,77.28
3:00,76.93
3:15,77.24
3:30,77.04
3:45,77.18
4:00,77.06
4:15,77.12
4:30,77.18
4:45,77.27
5:00,77.55
5:15,77.79
5:30,78.4
5:45,78.26
6:00,78.75
6:15,78.94
6:30,79.63
6:45,79.25
7:00,78.78
7:15,78.58
7:30,78.55
7:45,78.67
8:00,78.19
8:15,78.31
8:30,82.37
8:45,82.29
9:00,86.23
9:15,84.82
9:30,83.03
9:45,83.93
10:00,83.53
10:15,88.18
10:30,88.02
10:45,87.43
11:00,86.6
11:15,86.15
11:30,86.37
11:45,86.3
12:00,86.72
12:15,86.99
12:30,87.5
12:45,87.87
13:00,86.53
13:15,86.83
13:30,87.47
13:45,87.85
14:00,86.66
14:15,87.5
14:30,87.72
14:45,87.39
15:00,87.34
15:15,87.75
15:30,87.05
15:45,86.85
16:00,86.96
16:15,87.91
16:30,87.96
16:45,86.71
17:00,86.48
17:15,86.23
17:30,86.81
17:45,86.74
18:00,87.96
18:15,87.99
18:30,88.35
18:45,88.78
19:00,89.55
19:15,90.95
19:30,91.12
19:45,91.35
20:00,91.07
20:15,90.04
20:30,88.84
20:45,89.47
21:00,89.44
21:15,89.56
21:30,89.36
21:45,89.45
22:00,91.91
22:15,88.05
22:30,88.4
22:45,87.62
23:00,87.12
23:15,86.61
23:30,81.8
23:45,81.19
