Category,Krabi
0:00,78.67
0:15,78.88
0:30,78.52
0:45,73.68
1:00,73.7
1:15,73.56
1:30,73.68
1:45,73.67
2:00,73.58
2:15,73.58
2:30,73.35
2:45,73.43
3:00,73.47
3:15,73.48
3:30,73.74
3:45,73.64
4:00,73.63
4:15,73.75
4:30,73.84
4:45,73.88
5:00,73.69
5:15,73.9
5:30,74.47
5:45,74.88
6:00,75.14
6:15,75.69
6:30,76.3
6:45,75.93
7:00,75.5
7:15,74.18
7:30,74.03
7:45,73.96
8:00,78.32
8:15,77.07
8:30,77.04
8:45,81.29
9:00,81.65
9:15,82.09
9:30,80.48
9:45,80
10:00,83.41
10:15,83.3
10:30,83.93
10:45,83.59
11:00,81.21
11:15,80.29
11:30,83.21
11:45,83.26
12:00,93.31
12:15,87.06
12:30,75.51
12:45,80.71
13:00,82.31
13:15,82.89
13:30,84.4
13:45,83.54
14:00,83.53
14:15,83.13
14:30,83.14
14:45,84.75
15:00,84.88
15:15,84.86
15:30,84.12
15:45,85.15
16:00,84.59
16:15,84.54
16:30,84.68
16:45,85.52
17:00,86.56
17:15,85.68
17:30,86.19
17:45,85.22
18:00,85.04
18:15,85.52
18:30,88.85
18:45,89.23
19:00,89.29
19:15,89.21
19:30,88.65
19:45,88.88
20:00,88.36
20:15,88.3
20:30,89.31
20:45,89.34
21:00,88.9
21:15,88.66
21:30,88.55
21:45,84.45
22:00,86.68
22:15,86.67
22:30,88.41
22:45,88.43
23:00,83.75
23:15,83.07
23:30,82.76
23:45,82.49
