Category,Krabi
0:00,81.06
0:15,80.97
0:30,81.02
0:45,80.66
1:00,76.45
1:15,76.51
1:30,75.72
1:45,75.57
2:00,75.41
2:15,75.3
2:30,75.22
2:45,75.16
3:00,75.25
3:15,75.28
3:30,65.31
3:45,68.94
4:00,68.86
4:15,69.05
4:30,69.14
4:45,69.18
5:00,69.28
5:15,73.65
5:30,74.06
5:45,74.22
6:00,74.3
6:15,79.17
6:30,79.65
6:45,79.56
7:00,79.15
7:15,79.58
7:30,79.11
7:45,79.47
8:00,78.92
8:15,78.93
8:30,82.75
8:45,83.86
9:00,82.18
9:15,85.78
9:30,84.19
9:45,84.22
10:00,85.7
10:15,85.84
10:30,85.47
10:45,85.35
11:00,86.04
11:15,85.81
11:30,85.82
11:45,85.88
12:00,85.52
12:15,85.74
12:30,85.87
12:45,83.67
13:00,84.62
13:15,83.58
13:30,84.28
13:45,85.12
14:00,85.21
14:15,85.39
14:30,85.26
14:45,85.03
15:00,86.15
15:15,85.44
15:30,85.9
15:45,85.83
16:00,85.88
16:15,85.81
16:30,85.48
16:45,86.22
17:00,86.11
17:15,86.16
17:30,85.49
17:45,85.32
18:00,85.27
18:15,86.75
18:30,89.71
18:45,90.16
19:00,90.54
19:15,91.67
19:30,92.11
19:45,91.42
20:00,91.49
20:15,90.45
20:30,90.42
20:45,90.03
21:00,89.65
21:15,89.44
21:30,89.22
21:45,88.88
22:00,90.43
22:15,92.55
22:30,88.63
22:45,88.93
23:00,87.42
23:15,87.09
23:30,83
23:45,82.24
