Category,Krabi
0:00,82.38
0:15,82.07
0:30,82.05
0:45,81.96
1:00,77.64
1:15,77.76
1:30,77.56
1:45,77.7
2:00,77.71
2:15,77.75
2:30,79.46
2:45,77.35
3:00,77.59
3:15,77.6
3:30,73.7
3:45,73.69
4:00,73.63
4:15,73.58
4:30,73.6
4:45,73.8
5:00,73.8
5:15,74.25
5:30,73.88
5:45,74.38
6:00,74.95
6:15,79.26
6:30,79.92
6:45,80.16
7:00,78.95
7:15,78.85
7:30,78.75
7:45,78.34
8:00,77.4
8:15,77.84
8:30,78.34
8:45,83.5
9:00,83.95
9:15,83.45
9:30,87.28
9:45,87.37
10:00,87.62
10:15,87.42
10:30,87.52
10:45,85.72
11:00,85.18
11:15,84.72
11:30,85.96
11:45,85.55
12:00,85.4
12:15,85.44
12:30,85.56
12:45,85.82
13:00,85.5
13:15,87.3
13:30,89.36
13:45,89.7
14:00,89.5
14:15,90.11
14:30,92.77
14:45,93.29
15:00,93.32
15:15,93.01
15:30,92.92
15:45,92.52
16:00,92.39
16:15,92.37
16:30,92.36
16:45,92.58
17:00,92.94
17:15,92.6
17:30,92.77
17:45,92.91
18:00,93.43
18:15,93.71
18:30,99.01
18:45,99.84
19:00,100.5
19:15,100.19
19:30,100.16
19:45,100.23
20:00,97.37
20:15,97.08
20:30,96.64
20:45,96.3
21:00,97.4
21:15,97.16
21:30,92.68
21:45,93.44
22:00,93.47
22:15,92.91
22:30,93.07
22:45,93.3
23:00,88.84
23:15,88.3
23:30,89.07
23:45,88.88
