Category,Krabi
0:00,61.86
0:15,61.78
0:30,61.61
0:45,61.42
1:00,61.11
1:15,61.06
1:30,60.69
1:45,56.99
2:00,57.21
2:15,57.81
2:30,56.96
2:45,56.75
3:00,56.6
3:15,56.48
3:30,56.32
3:45,52.24
4:00,52.36
4:15,52.59
4:30,52.12
4:45,52.4
5:00,52.78
5:15,52.92
5:30,53.05
5:45,53.17
6:00,53.17
6:15,53.52
6:30,54.53
6:45,53.97
7:00,53.12
7:15,52.53
7:30,52.14
7:45,52.05
8:00,51.4
8:15,56.01
8:30,56.34
8:45,60.93
9:00,66.37
9:15,65.47
9:30,65
9:45,64.84
10:00,69.01
10:15,69.96
10:30,69.83
10:45,69.74
11:00,70.04
11:15,70.18
11:30,68.57
11:45,68.1
12:00,68.41
12:15,69.06
12:30,69.24
12:45,69.14
13:00,69.33
13:15,69.74
13:30,70.87
13:45,73
14:00,71.16
14:15,72.67
14:30,72.29
14:45,72.19
15:00,71.98
15:15,71.95
15:30,71.5
15:45,71.68
16:00,71.51
16:15,71.54
16:30,64.41
16:45,64.07
17:00,63.87
17:15,64.14
17:30,64.08
17:45,63.75
18:00,64.07
18:15,64.17
18:30,64.91
18:45,65.45
19:00,70.91
19:15,69.45
19:30,70.21
19:45,68.45
20:00,69.76
20:15,69.26
20:30,70.79
20:45,70.3
21:00,69.94
21:15,69.93
21:30,69.41
21:45,69.97
22:00,68.86
22:15,65.97
22:30,66.04
22:45,64.05
23:00,64.24
23:15,63.93
23:30,59.93
23:45,59.23
