Category,Krabi
0:00,77.29
0:15,77.07
0:30,72.47
0:45,73.48
1:00,73.45
1:15,73.08
1:30,73.29
1:45,73.14
2:00,73.38
2:15,73.24
2:30,73.03
2:45,72.93
3:00,73.02
3:15,73
3:30,73.06
3:45,73.05
4:00,72.9
4:15,73.09
4:30,73.03
4:45,73.25
5:00,73.31
5:15,73.75
5:30,74.23
5:45,74.79
6:00,74.08
6:15,74.1
6:30,74.92
6:45,79.06
7:00,78.73
7:15,78.22
7:30,78.08
7:45,77.96
8:00,76.24
8:15,76.91
8:30,76.92
8:45,77.21
9:00,80.97
9:15,80.98
9:30,78.44
9:45,77.1
10:00,81.69
10:15,80.38
10:30,80.96
10:45,80.99
11:00,79.85
11:15,79.99
11:30,79.85
11:45,79.98
12:00,77.07
12:15,77
12:30,77.02
12:45,77.17
13:00,77.07
13:15,80.22
13:30,82.54
13:45,81.37
14:00,84.86
14:15,85.07
14:30,84.63
14:45,85.17
15:00,84.7
15:15,85.45
15:30,87.06
15:45,85.45
16:00,85.69
16:15,85.61
16:30,85.48
16:45,85.56
17:00,85.41
17:15,86.22
17:30,86.36
17:45,85.79
18:00,85.54
18:15,84.98
18:30,85.31
18:45,86.08
19:00,89.05
19:15,93.37
19:30,94.01
19:45,94.02
20:00,93.47
20:15,93.39
20:30,93.63
20:45,93.89
21:00,93.17
21:15,92.77
21:30,82.92
21:45,87.22
22:00,90.17
22:15,92.19
22:30,91.79
22:45,90.89
23:00,86.75
23:15,86.31
23:30,86.03
23:45,81.07
