Category,Krabi
0:00,78.51
0:15,78.46
0:30,77.91
0:45,73.73
1:00,73.67
1:15,74.23
1:30,74.23
1:45,73.74
2:00,73.83
2:15,73.86
2:30,73.32
2:45,73.4
3:00,73.46
3:15,73.51
3:30,73.4
3:45,73.49
4:00,73.44
4:15,73.76
4:30,73.44
4:45,73.44
5:00,73.57
5:15,74.14
5:30,74.29
5:45,75.34
6:00,75.83
6:15,76.11
6:30,76.13
6:45,76.48
7:00,75.48
7:15,75.94
7:30,75.79
7:45,75.61
8:00,75.53
8:15,79.55
8:30,80.54
8:45,85.58
9:00,85.86
9:15,84.82
9:30,85.39
9:45,84.86
10:00,85.87
10:15,86.57
10:30,87.92
10:45,87.11
11:00,88.62
11:15,89.3
11:30,88.43
11:45,88.86
12:00,88.82
12:15,89.53
12:30,88.67
12:45,88.94
13:00,89.3
13:15,88.03
13:30,88.56
13:45,89.52
14:00,89.46
14:15,90.63
14:30,91.34
14:45,91.28
15:00,91.99
15:15,90.44
15:30,89.29
15:45,89.22
16:00,86.14
16:15,86.62
16:30,91.33
16:45,86.9
17:00,93.33
17:15,94.94
17:30,98.72
17:45,98.29
18:00,97.32
18:15,95.89
18:30,97.3
18:45,97.37
19:00,94.65
19:15,94.44
19:30,94.77
19:45,93.34
20:00,95.04
20:15,92.9
20:30,93.73
20:45,93.88
21:00,93.79
21:15,96.06
21:30,88.41
21:45,88.23
22:00,90.2
22:15,92.49
22:30,92.01
22:45,91.78
23:00,87.04
23:15,86.66
23:30,86.57
23:45,86.63
