Category,Krabi
0:00,81.97
0:15,82.53
0:30,82.03
0:45,78.15
1:00,78
1:15,77.75
1:30,77.67
1:45,77.65
2:00,77.61
2:15,77.07
2:30,77.15
2:45,77.07
3:00,77.52
3:15,77.48
3:30,77.43
3:45,72.93
4:00,73.25
4:15,73.11
4:30,73.04
4:45,72.93
5:00,72.96
5:15,73.16
5:30,73.22
5:45,73.58
6:00,74.14
6:15,78.52
6:30,78.98
6:45,78.44
7:00,78.75
7:15,78.46
7:30,78.64
7:45,78.76
8:00,78.24
8:15,79.25
8:30,84.6
8:45,85.4
9:00,84.93
9:15,84.99
9:30,84.02
9:45,88.4
10:00,87.34
10:15,89.19
10:30,88
10:45,87.67
11:00,87.67
11:15,87.28
11:30,39.01
11:45,91.32
12:00,90.01
12:15,90.29
12:30,88.96
12:45,81.93
13:00,81.94
13:15,82.87
13:30,88.67
13:45,89.63
14:00,89.78
14:15,89.35
14:30,89.71
14:45,89.28
15:00,89.4
15:15,89.65
15:30,89.86
15:45,89.65
16:00,89.35
16:15,88.14
16:30,87.59
16:45,87.63
17:00,89.72
17:15,90.6
17:30,90.01
17:45,90.02
18:00,89.84
18:15,89.99
18:30,90.25
18:45,94.67
19:00,95.3
19:15,95.68
19:30,95.99
19:45,95.98
20:00,96.29
20:15,95.81
20:30,96.21
20:45,95.59
21:00,95.45
21:15,95.44
21:30,95.19
21:45,94.86
22:00,94.87
22:15,96.49
22:30,91.54
22:45,91.13
23:00,90.8
23:15,90.04
23:30,90.15
23:45,85.25
