Category,Krabi
0:00,59.16
0:15,58.93
0:30,58.85
0:45,58.65
1:00,54.62
1:15,54.59
1:30,54.45
1:45,54.26
2:00,54.39
2:15,54.37
2:30,53.94
2:45,49.63
3:00,50.25
3:15,49.59
3:30,49.5
3:45,49.34
4:00,49.13
4:15,49.43
4:30,49.63
4:45,50.05
5:00,50.06
5:15,50.37
5:30,50.91
5:45,51.73
6:00,45.08
6:15,51.96
6:30,52
6:45,46.6
7:00,52.08
7:15,51.15
7:30,52.53
7:45,53.59
8:00,54.03
8:15,58.49
8:30,58.94
8:45,58.98
9:00,59.1
9:15,63.17
9:30,63.34
9:45,63.29
10:00,63.01
10:15,63.54
10:30,63.85
10:45,68.1
11:00,67.76
11:15,67.86
11:30,67.59
11:45,67.29
12:00,67.18
12:15,67.06
12:30,67.16
12:45,67.21
13:00,67.17
13:15,67.38
13:30,67.6
13:45,67.72
14:00,68.21
14:15,68.23
14:30,67.51
14:45,67.39
15:00,67.19
15:15,71.24
15:30,69.69
15:45,65.89
16:00,65.65
16:15,69.84
16:30,70.25
16:45,69.32
17:00,70.42
17:15,69.59
17:30,69.61
17:45,69.79
18:00,70.68
18:15,71.67
18:30,72.22
18:45,70.87
19:00,72.53
19:15,72.71
19:30,72.94
19:45,73.19
20:00,73.11
20:15,72.7
20:30,72.8
20:45,72.26
21:00,72.27
21:15,71.89
21:30,71.48
21:45,71.79
22:00,71.22
22:15,70.68
22:30,66.32
22:45,66.53
23:00,66.35
23:15,66.02
23:30,65.58
23:45,61.48
