Category,Krabi
0:00,68.95
0:15,68.08
0:30,63.99
0:45,63.89
1:00,63.71
1:15,63.49
1:30,59.01
1:45,59.15
2:00,58.99
2:15,58.67
2:30,58.89
2:45,58.69
3:00,58.41
3:15,53.84
3:30,54.22
3:45,54.36
4:00,54.03
4:15,54.24
4:30,53.83
4:45,54.03
5:00,53.64
5:15,54.03
5:30,54.22
5:45,54.4
6:00,54.83
6:15,55.78
6:30,56.29
6:45,58.27
7:00,54.71
7:15,54.8
7:30,54.8
7:45,55.04
8:00,54.97
8:15,56.06
8:30,55.96
8:45,61.01
9:00,60.74
9:15,65.03
9:30,61.64
9:45,61.88
10:00,63.63
10:15,65.55
10:30,70.84
10:45,69.88
11:00,69.87
11:15,70.48
11:30,70.49
11:45,71.95
12:00,70.65
12:15,70.54
12:30,70.63
12:45,71.47
13:00,70.76
13:15,70.92
13:30,71.27
13:45,71.79
14:00,71.49
14:15,74.6
14:30,74.9
14:45,70.52
15:00,70.15
15:15,72.13
15:30,72.11
15:45,72.62
16:00,70.63
16:15,71.1
16:30,70.9
16:45,71.33
17:00,72.54
17:15,71.77
17:30,71.78
17:45,71.1
18:00,68.3
18:15,71.91
18:30,71.93
18:45,73.71
19:00,78.71
19:15,78.43
19:30,79.19
19:45,79.47
20:00,79.77
20:15,79.42
20:30,78.82
20:45,79.07
21:00,79.03
21:15,78.37
21:30,78.17
21:45,77.94
22:00,70.21
22:15,69.62
22:30,70.77
22:45,70.8
23:00,70.25
23:15,69.6
23:30,69.94
23:45,69.68
