Category,Krabi
0:00,49.33
0:15,49.25
0:30,49.06
0:45,44.69
1:00,44.53
1:15,44.69
1:30,44.72
1:45,44.79
2:00,37.81
2:15,41.45
2:30,42.22
2:45,40.52
3:00,40.36
3:15,40.27
3:30,42.53
3:45,42.55
4:00,42.34
4:15,42.72
4:30,42.98
4:45,42.85
5:00,42.46
5:15,42.55
5:30,44.94
5:45,45.26
6:00,45.94
6:15,46.45
6:30,46.75
6:45,46.1
7:00,47.41
7:15,45.77
7:30,44.46
7:45,45.86
8:00,50.52
8:15,50.47
8:30,49.69
8:45,50.1
9:00,50.57
9:15,56.2
9:30,54.6
9:45,54.55
10:00,54.81
10:15,53.42
10:30,52.89
10:45,53.79
11:00,46.89
11:15,53.13
11:30,53.31
11:45,52.67
12:00,52.34
12:15,50.19
12:30,51.32
12:45,52.19
13:00,52.31
13:15,52.21
13:30,53.45
13:45,53.11
14:00,53.2
14:15,51.92
14:30,49.09
14:45,48.7
15:00,48.92
15:15,48.64
15:30,49.8
15:45,49.21
16:00,49.32
16:15,49.32
16:30,49.25
16:45,49.43
17:00,49.39
17:15,49.5
17:30,49.42
17:45,49.52
18:00,49.74
18:15,52.08
18:30,52.14
18:45,52.67
19:00,53.2
19:15,53.04
19:30,56.94
19:45,57.9
20:00,57.58
20:15,57.82
20:30,57.44
20:45,56.15
21:00,55.74
21:15,51.6
21:30,51.62
21:45,51.54
22:00,51.01
22:15,51.13
22:30,50.92
22:45,47.24
23:00,46.88
23:15,46.03
23:30,44.89
23:45,44.58
