Category,Krabi
0:00,82.96
0:15,82.85
0:30,82.73
0:45,82.34
1:00,82.07
1:15,77.62
1:30,77.77
1:45,77.59
2:00,77.49
2:15,77.43
2:30,77.64
2:45,77.52
3:00,77.68
3:15,77.78
3:30,77.47
3:45,77.29
4:00,75.31
4:15,75.43
4:30,75.63
4:45,75.68
5:00,75.77
5:15,75.97
5:30,75.93
5:45,77.07
6:00,77.25
6:15,77.63
6:30,82.29
6:45,82.74
7:00,81.87
7:15,80.86
7:30,79.99
7:45,79.96
8:00,79.95
8:15,79.55
8:30,84.26
8:45,79.82
9:00,84.91
9:15,84.58
9:30,88.81
9:45,89.97
10:00,90.29
10:15,92.13
10:30,91.55
10:45,91.6
11:00,91.77
11:15,91.45
11:30,90.45
11:45,90.27
12:00,90.5
12:15,89.46
12:30,90.21
12:45,90.9
13:00,90.36
13:15,92.35
13:30,91.87
13:45,92.12
14:00,92.14
14:15,92.09
14:30,92.78
14:45,92.31
15:00,92.11
15:15,92.14
15:30,92.22
15:45,92.6
16:00,92.7
16:15,92.05
16:30,91.93
16:45,92.7
17:00,93.01
17:15,93.77
17:30,94.07
17:45,92.71
18:00,92.38
18:15,96.09
18:30,96.87
18:45,97.91
19:00,98.33
19:15,97.64
19:30,97.15
19:45,96.61
20:00,96.5
20:15,96.32
20:30,97.76
20:45,97.47
21:00,92.05
21:15,91.53
21:30,92.47
21:45,90.95
22:00,90.89
22:15,91.72
22:30,91.75
22:45,88.07
23:00,87.86
23:15,87.41
23:30,86.79
23:45,86.51
