Category,Krabi
0:00,86.29
0:15,82.05
0:30,81.69
0:45,81.63
1:00,81.31
1:15,81.3
1:30,81.17
1:45,81.03
2:00,81.12
2:15,81.01
2:30,76.97
2:45,76.99
3:00,77.01
3:15,76.81
3:30,76.7
3:45,76.73
4:00,76.73
4:15,76.75
4:30,76.73
4:45,76.8
5:00,76.88
5:15,77.16
5:30,77.35
5:45,77.21
6:00,77.78
6:15,78.22
6:30,78.48
6:45,78.36
7:00,78.13
7:15,77.71
7:30,78.01
7:45,78.08
8:00,77.9
8:15,82.01
8:30,82.15
8:45,82.33
9:00,82.75
9:15,83.41
9:30,87.54
9:45,86.57
10:00,86.3
10:15,86.37
10:30,85.36
10:45,85.87
11:00,85.23
11:15,85.09
11:30,84.91
11:45,84.87
12:00,85.08
12:15,81.03
12:30,81.14
12:45,85.31
13:00,85.76
13:15,85.86
13:30,85.12
13:45,85.16
14:00,85.23
14:15,85.04
14:30,85.19
14:45,89.23
15:00,88.98
15:15,89.45
15:30,89.02
15:45,88.53
16:00,88.63
16:15,89.08
16:30,89.3
16:45,89.34
17:00,89.15
17:15,89.4
17:30,89.47
17:45,89.06
18:00,90.22
18:15,91.27
18:30,96.1
18:45,96.15
19:00,95.96
19:15,95.95
19:30,95.51
19:45,96.56
20:00,95.35
20:15,90.91
20:30,90.78
20:45,90.72
21:00,90.58
21:15,90.45
21:30,90.29
21:45,90.27
22:00,85.99
22:15,86.14
22:30,86.04
22:45,86.08
23:00,85.8
23:15,85.33
23:30,81.12
23:45,80.79
