Category,Krabi
0:00,77.91
0:15,77.98
0:30,73.61
0:45,73.72
1:00,74.14
1:15,74.06
1:30,74.25
1:45,74.89
2:00,74.68
2:15,74.92
2:30,74.73
2:45,74.69
3:00,74.9
3:15,74.49
3:30,74.55
3:45,74.38
4:00,69.17
4:15,69.21
4:30,69.39
4:45,69.41
5:00,69.62
5:15,70.43
5:30,70.49
5:45,70.78
6:00,71.1
6:15,75.91
6:30,76.15
6:45,76.22
7:00,75.83
7:15,76.72
7:30,76.87
7:45,75.83
8:00,75.67
8:15,75.96
8:30,79.95
8:45,79.77
9:00,80.22
9:15,80.67
9:30,84.97
9:45,84.49
10:00,84.45
10:15,83.96
10:30,83.88
10:45,88.73
11:00,88.85
11:15,80.99
11:30,80.86
11:45,79.76
12:00,83.44
12:15,82.78
12:30,82.12
12:45,81.72
13:00,83.62
13:15,84.09
13:30,83.72
13:45,85.03
14:00,84.99
14:15,84.76
14:30,85.35
14:45,85.54
15:00,85.89
15:15,86.2
15:30,86.58
15:45,85.94
16:00,85.37
16:15,85.19
16:30,85.75
16:45,86.21
17:00,86.58
17:15,87.34
17:30,87.64
17:45,87.39
18:00,87.09
18:15,87.53
18:30,88.31
18:45,92.74
19:00,93.66
19:15,94.59
19:30,94.71
19:45,94.58
20:00,94.4
20:15,93.87
20:30,93.82
20:45,88.46
21:00,87.95
21:15,87.75
21:30,87.7
21:45,88.13
22:00,87.2
22:15,86.96
22:30,87.4
22:45,83.14
23:00,83.06
23:15,82.91
23:30,82.34
23:45,81.89
