Category,Krabi
0:00,72.81
0:15,72.77
0:30,72.91
0:45,73.53
1:00,68.42
1:15,69.39
1:30,68.86
1:45,69.05
2:00,68.86
2:15,68.68
2:30,64.53
2:45,64.62
3:00,64.36
3:15,64.36
3:30,64.42
3:45,63.01
4:00,63.03
4:15,62.78
4:30,62.53
4:45,62.79
5:00,63.53
5:15,62.78
5:30,63.24
5:45,64.79
6:00,64.81
6:15,64.83
6:30,60.68
6:45,60.17
7:00,59.96
7:15,62.38
7:30,62.73
7:45,62.76
8:00,62.59
8:15,63.38
8:30,63.12
8:45,63.4
9:00,63.64
9:15,68.27
9:30,67.71
9:45,67.88
10:00,67.6
10:15,67.47
10:30,67.57
10:45,67.73
11:00,68
11:15,67.63
11:30,66.32
11:45,66.82
12:00,66.19
12:15,65.96
12:30,65.83
12:45,69.4
13:00,70.77
13:15,71.27
13:30,71.54
13:45,71.67
14:00,71.38
14:15,71.8
14:30,71.7
14:45,72.43
15:00,72.64
15:15,73.11
15:30,72.66
15:45,73.22
16:00,73.47
16:15,73.4
16:30,72.96
16:45,73.01
17:00,72.96
17:15,73.06
17:30,73.03
17:45,72.72
18:00,74
18:15,74.3
18:30,75.29
18:45,78.78
19:00,79.75
19:15,84.35
19:30,84.43
19:45,84.96
20:00,84.67
20:15,84.62
20:30,84.82
20:45,84.59
21:00,84.43
21:15,84.09
21:30,83.75
21:45,83.41
22:00,83
22:15,83.18
22:30,83.06
22:45,79.5
23:00,78.92
23:15,78.91
23:30,78.7
23:45,78.62333333
