Category,Krabi
0:00,85.04
0:15,84.56
0:30,84.61
0:45,84.3
1:00,84.31
1:15,80.15
1:30,79.89
1:45,80.09
2:00,79.54
2:15,79.73
2:30,79.57
2:45,79.33
3:00,71.61
3:15,74.63
3:30,74.4
3:45,74.4
4:00,74.61
4:15,74.5
4:30,74.27
4:45,74.29
5:00,74.47
5:15,74.59
5:30,76.17
5:45,76.48
6:00,76.75
6:15,76.92
6:30,77.37
6:45,77.6
7:00,77.03
7:15,76.82
7:30,76.54
7:45,77
8:00,76.92
8:15,81.11
8:30,81.32
8:45,81.85
9:00,81.63
9:15,81.37
9:30,81.32
9:45,85.32
10:00,85.17
10:15,85.17
10:30,85.6
10:45,84.96
11:00,85.07
11:15,85.16
11:30,85.38
11:45,84.86
12:00,83.03
12:15,84.04
12:30,83.94
12:45,84.91
13:00,85.96
13:15,84.89
13:30,83.91
13:45,83.78
14:00,83.52
14:15,83.9
14:30,85.05
14:45,81.93
15:00,81.86
15:15,81.41
15:30,80.94
15:45,81.53
16:00,81.35
16:15,81.54
16:30,81.16
16:45,81.77
17:00,81.71
17:15,81.78
17:30,81.74
17:45,82.2
18:00,81.75
18:15,82.74
18:30,83.02
18:45,90.34
19:00,90.65
19:15,91.07
19:30,91.73
19:45,91.73
20:00,91.65
20:15,90.94
20:30,90.89
20:45,90.75
21:00,90.48
21:15,89.8
21:30,89.06
21:45,89.14
22:00,88.02
22:15,87.78
22:30,82.77
22:45,82.72
23:00,81.92
23:15,81.84
23:30,77.2
23:45,77.03
