Category,Krabi
0:00,86.29
0:15,86.29
0:30,86.06
0:45,86.63
1:00,86.6
1:15,79.01
1:30,79.23
1:45,79.29
2:00,80.8
2:15,80.74
2:30,80.59
2:45,80.59
3:00,80.47
3:15,80.63
3:30,80.64
3:45,80.56
4:00,80.67
4:15,80.65
4:30,80.86
4:45,80.8
5:00,81.17
5:15,81.36
5:30,81.5
5:45,81.66
6:00,82.72
6:15,82.75
6:30,83.29
6:45,83.54
7:00,83.55
7:15,82.91
7:30,82.63
7:45,82.36
8:00,82.18
8:15,82.18
8:30,84.15
8:45,84.6
9:00,84.84
9:15,84.3
9:30,84.2
9:45,88.35
10:00,88
10:15,87.86
10:30,87.83
10:45,87.9
11:00,88.12
11:15,87.83
11:30,88.15
11:45,88.42
12:00,88.07
12:15,88.11
12:30,88.1
12:45,88.44
13:00,87.87
13:15,87.57
13:30,87.75
13:45,87.57
14:00,87.44
14:15,87.47
14:30,92.25
14:45,91.89
15:00,91.62
15:15,90.13
15:30,90.58
15:45,90.35
16:00,90.43
16:15,90.98
16:30,90.86
16:45,90.89
17:00,91.01
17:15,90.7
17:30,90.76
17:45,90.43
18:00,95.46
18:15,94.89
18:30,101.48
18:45,100.82
19:00,101.16
19:15,101.54
19:30,101.73
19:45,102.89
20:00,103.43
20:15,103.38
20:30,103.45
20:45,103.2
21:00,103.27
21:15,103.26
21:30,97.93
21:45,98.14
22:00,95.51
22:15,95.85
22:30,94.55
22:45,94.85
23:00,91.11
23:15,90.73
23:30,91.33
23:45,91.53
