Category,Krabi
0:00,61.4
0:15,61.7
0:30,61.36
0:45,61.43
1:00,60.91
1:15,56.66
1:30,56.83
1:45,56.99
2:00,56.91
2:15,56.76
2:30,56.73
2:45,57.16
3:00,56.77
3:15,57.05
3:30,53.37
3:45,53.37
4:00,52.64
4:15,52.81
4:30,52.44
4:45,52.68
5:00,52.64
5:15,52.92
5:30,53.45
5:45,53.46
6:00,53.57
6:15,53.93
6:30,54.37
6:45,54.73
7:00,54.09
7:15,53.94
7:30,53.95
7:45,53.99
8:00,53.81
8:15,55.06
8:30,58.78
8:45,58.55
9:00,58.39
9:15,58.44
9:30,58.61
9:45,58.17
10:00,62.46
10:15,61.97
10:30,62.44
10:45,62
11:00,62.02
11:15,62.17
11:30,61.93
11:45,61.99
12:00,62.05
12:15,61.86
12:30,62.17
12:45,62.67
13:00,62.73
13:15,62.72
13:30,62.91
13:45,62.57
14:00,62.47
14:15,63.14
14:30,67.1
14:45,66.85
15:00,65.77
15:15,65.86
15:30,65.78
15:45,65.16
16:00,65.48
16:15,65.05
16:30,69.22
16:45,65.53
17:00,65
17:15,64.16
17:30,64.34
17:45,64.32
18:00,72.74
18:15,67.94
18:30,66
18:45,72.03
19:00,72.99
19:15,73.42
19:30,73.64
19:45,73.48
20:00,73.95
20:15,73.29
20:30,73.41
20:45,72.73
21:00,72.35
21:15,72.15
21:30,71.46
21:45,71.8
22:00,71.83
22:15,66.91
22:30,66.83
22:45,66.72
23:00,66.77
23:15,62.05
23:30,61.95
23:45,62.02
