Category,Krabi
0:00,89.18
0:15,88.65
0:30,88.26
0:45,88.5
1:00,84.35
1:15,83.76
1:30,83.68
1:45,83.79
2:00,83.65
2:15,83.65
2:30,83.65
2:45,84.3
3:00,79.51
3:15,79.51
3:30,79.51
3:45,78.98
4:00,78.84
4:15,78.66
4:30,78.55
4:45,78.64
5:00,78.49
5:15,78.73
5:30,79.66
5:45,78.95
6:00,79
6:15,79.47
6:30,79.47
6:45,79.86
7:00,80.1
7:15,80.1
7:30,80.54
7:45,79.97
8:00,79.8
8:15,79.52
8:30,79.45
8:45,79.26
9:00,79.84
9:15,79.45
9:30,78.95
9:45,83.25
10:00,83.25
10:15,83.39
10:30,83.42
10:45,83.46
11:00,87.21
11:15,87.75
11:30,87.73
11:45,88.05
12:00,88.14
12:15,88.58
12:30,87.58
12:45,88.1
13:00,88.15
13:15,88.15
13:30,88.63
13:45,88.53
14:00,88.68
14:15,88.68
14:30,83.35
14:45,83.14
15:00,82.05
15:15,82.05
15:30,80.66
15:45,81.74
16:00,81.47
16:15,81.93
16:30,81.92
16:45,81.68
17:00,81.73
17:15,82.54
17:30,82.1
17:45,82.12
18:00,81.96
18:15,81.7
18:30,81.57
18:45,82.58
19:00,82.5
19:15,83.48
19:30,87.94
19:45,87.94
20:00,92.94
20:15,92.94
20:30,97.74
20:45,98.31
21:00,93.88
21:15,93.92
21:30,93.56
21:45,93.56
22:00,94.24
22:15,89.5
22:30,89.4
22:45,89.48
23:00,89.17
23:15,89.62
23:30,84.91
23:45,84.91
