Category,Krabi
0:00,80.52
0:15,80.63
0:30,80.8
0:45,76.61
1:00,76.52
1:15,76.36
1:30,77.09
1:45,77.32
2:00,77.13
2:15,76.73
2:30,76.79
2:45,77.04
3:00,76.89
3:15,76.93
3:30,76.97
3:45,77.03
4:00,72.78
4:15,72.62
4:30,72.69
4:45,72.47
5:00,72.77
5:15,73.09
5:30,73.1
5:45,73.15
6:00,73.3
6:15,78.05
6:30,78.2
6:45,78.46
7:00,78.32
7:15,78.18
7:30,78.11
7:45,78.11
8:00,78.11
8:15,78.11
8:30,78.11
8:45,78.11
9:00,78.11
9:15,78.11
9:30,78.11
9:45,78.11
10:00,78.11
10:15,78.11
10:30,78.11
10:45,78.11
11:00,78.11
11:15,78.11
11:30,78.11
11:45,78.11
12:00,78.11
12:15,78.11
12:30,78.11
12:45,78.11
13:00,78.11
13:15,78.11
13:30,78.11
13:45,78.11
14:00,78.11
14:15,78.11
14:30,78.11
14:45,78.11
15:00,78.11
15:15,78.11
15:30,78.11
15:45,78.11
16:00,78.11
16:15,78.11
16:30,78.11
16:45,78.11
17:00,78.11
17:15,78.11
17:30,78.11
17:45,78.11
18:00,78.11
18:15,78.11
18:30,78.11
18:45,78.11
19:00,78.11
19:15,78.11
19:30,78.11
19:45,78.11
20:00,78.11
20:15,78.11
20:30,78.11
20:45,78.11
21:00,78.11
21:15,78.11
21:30,78.11
21:45,78.11
22:00,78.11
22:15,78.11
22:30,78.11
22:45,78.11
23:00,78.11
23:15,78.11
23:30,78.11
23:45,78.11
