Category,Krabi
0:00,83.87
0:15,83.28
0:30,79.19
0:45,79.17
1:00,78.97
1:15,78.96
1:30,78.8
1:45,78.44
2:00,78.54
2:15,78.63
2:30,77.94
2:45,77.99
3:00,77.36
3:15,73.48
3:30,73.11
3:45,72.97
4:00,72.94
4:15,73.21
4:30,73.29
4:45,73.56
5:00,73.89
5:15,73.86
5:30,74.19
5:45,74.62
6:00,74.82
6:15,80.24
6:30,80.67
6:45,80.12
7:00,79.84
7:15,79.1
7:30,79.32
7:45,79.33
8:00,78.83
8:15,79.02
8:30,79.2
8:45,79.29
9:00,83.09
9:15,82.37
9:30,81.02
9:45,80.01
10:00,79.13
10:15,78.79
10:30,78.41
10:45,78.31
11:00,78.3
11:15,78.61
11:30,78.67
11:45,77.97
12:00,78.5
12:15,74.89
12:30,75.23
12:45,75.25
13:00,74.66
13:15,76.45
13:30,77.45
13:45,78.64
14:00,79.85
14:15,79.01
14:30,79.18
14:45,79.41
15:00,78.99
15:15,78.81
15:30,78.43
15:45,79.2
16:00,78.6
16:15,79.11
16:30,78.89
16:45,78.76
17:00,78.72
17:15,79.77
17:30,78.66
17:45,78.95
18:00,78.53
18:15,79.79
18:30,83.36
18:45,83.95
19:00,87.93
19:15,89.17
19:30,89.21
19:45,89.92
20:00,89.09
20:15,91.04
20:30,92.3
20:45,92.22
21:00,91.36
21:15,87.41
21:30,87.01
21:45,86.84
22:00,88.35
22:15,90.27
22:30,86.96
22:45,86.75
23:00,86.49
23:15,86.41
23:30,85.8
23:45,81.34
