Category,Krabi
0:00,86.82
0:15,86.65
0:30,82.48
0:45,82.38
1:00,82.24
1:15,82.04
1:30,81.91
1:45,81.79
2:00,78.08
2:15,78.03
2:30,77.87
2:45,77.94
3:00,77.8
3:15,77.02
3:30,77.1
3:45,77
4:00,76.99
4:15,77.21
4:30,77.47
4:45,77.25
5:00,77.67
5:15,78.02
5:30,78.23
5:45,78.73
6:00,78.86
6:15,79.1
6:30,79.46
6:45,79.42
7:00,79.23
7:15,79.18
7:30,78.81
7:45,78.15
8:00,78.16
8:15,82.49
8:30,81.94
8:45,82.25
9:00,85.4
9:15,83.71
9:30,83.69
9:45,86.41
10:00,90.68
10:15,92.28
10:30,92.13
10:45,91.67
11:00,92.16
11:15,90.52
11:30,88.58
11:45,88.49
12:00,88.13
12:15,87.76
12:30,87.88
12:45,88.11
13:00,87.98
13:15,88.58
13:30,88.53
13:45,88.4
14:00,91.54
14:15,91.34
14:30,91.34
14:45,92.74
15:00,93.67
15:15,93.8
15:30,94.32
15:45,94.96
16:00,94.61
16:15,94.69
16:30,95.72
16:45,93.21
17:00,92.89
17:15,92
17:30,92.4
17:45,92.2
18:00,93.16
18:15,93.78
18:30,94.23
18:45,98.75
19:00,99.15
19:15,97.9
19:30,96.52
19:45,96.86
20:00,96.54
20:15,93.8
20:30,93.58
20:45,93.29
21:00,93.14
21:15,92.88
21:30,94.14
21:45,90.47
22:00,90.2
22:15,90.52
22:30,90.26
22:45,86.18
23:00,86.76
23:15,85.6
23:30,84.97
23:45,86.8
