Category,Krabi
0:00,62.09
0:15,62.3
0:30,62.25
0:45,61.67
1:00,61.68
1:15,57.86
1:30,57.74
1:45,57.79
2:00,57.64
2:15,55.56
2:30,57.19
2:45,57.4
3:00,57.62
3:15,57.6
3:30,53.48
3:45,53.46
4:00,52.76
4:15,52.78
4:30,54.38
4:45,54.43
5:00,53.99
5:15,54.23
5:30,54.33
5:45,54.63
6:00,54.74
6:15,55.28
6:30,55.26
6:45,55.36
7:00,55.94
7:15,54.64
7:30,53.88
7:45,54.11
8:00,53.7
8:15,58.23
8:30,58.96
8:45,59.51
9:00,63.32
9:15,61.92
9:30,60.84
9:45,60.97
10:00,64.25
10:15,65.86
10:30,64.85
10:45,65.64
11:00,65.86
11:15,67
11:30,67.88
11:45,66.86
12:00,68.59
12:15,64.15
12:30,62.93
12:45,66.32
13:00,62.43
13:15,63.46
13:30,64.79
13:45,65.2
14:00,66.6
14:15,67.45
14:30,68.27
14:45,68.42
15:00,77.13
15:15,77.48
15:30,71.61
15:45,72.3
16:00,71.4
16:15,71.49
16:30,70.89
16:45,70.52
17:00,71.45
17:15,69.25
17:30,69.62
17:45,70.64
18:00,69.96
18:15,69.55
18:30,71.69
18:45,70.66
19:00,75.85
19:15,76.64
19:30,77.42
19:45,76.44
20:00,76.46
20:15,76.58
20:30,76.24
20:45,76.39
21:00,75.38
21:15,70.09
21:30,69.89
21:45,69.55
22:00,69.43
22:15,69.5
22:30,70.49
22:45,71.12
23:00,66.97
23:15,62.31
23:30,62.23
23:45,62
