Category,Krabi
0:00,80.59
0:15,76.07
0:30,75.85
0:45,75.86
1:00,76.35
1:15,75.77
1:30,76.07
1:45,74.99
2:00,75.01
2:15,75.33
2:30,75.34
2:45,75.25
3:00,75.09
3:15,75.8
3:30,71
3:45,71.28
4:00,70.83
4:15,70.99
4:30,71.17
4:45,68.86
5:00,70.27
5:15,68.86
5:30,69.38
5:45,69.62
6:00,69.57
6:15,69.67
6:30,71.25
6:45,76.13
7:00,75.51
7:15,77.14
7:30,77.1
7:45,77.67
8:00,77.45
8:15,78.17
8:30,78.49
8:45,82.01
9:00,83.22
9:15,82.4
9:30,87.41
9:45,85.67
10:00,84.78
10:15,85.19
10:30,85.27
10:45,85.25
11:00,84.98
11:15,84.83
11:30,85.39
11:45,89.55
12:00,85.7
12:15,86
12:30,84.94
12:45,84.69
13:00,84.99
13:15,84.51
13:30,85.68
13:45,85.68
14:00,85.76
14:15,88.63
14:30,87.4
14:45,87.94
15:00,88.15
15:15,87.09
15:30,89.96
15:45,90.11
16:00,89.87
16:15,90.1
16:30,90.43
16:45,84.9
17:00,84.96
17:15,84.53
17:30,82.43
17:45,82.66
18:00,81.39
18:15,82.01
18:30,87.67
18:45,87.77
19:00,88.07
19:15,86.74
19:30,86.79
19:45,88.44
20:00,88.09
20:15,88.02
20:30,87.98
20:45,87.59
21:00,88.92
21:15,88.68
21:30,88.61
21:45,89.3
22:00,86
22:15,89.03
22:30,88.46
22:45,88.26
23:00,87.79
23:15,83.38
23:30,83.1
23:45,83.02
