Category,Krabi
0:00,
0:15,71.15
0:30,72.51
0:45,72.44
1:00,72.09
1:15,71.8
1:30,71.79
1:45,71.63
2:00,67.49
2:15,67.4
2:30,61.03
2:45,67.24
3:00,67.29
3:15,66.88
3:30,
3:45,66.65
4:00,62.41
4:15,62.48
4:30,62.43
4:45,62.49
5:00,62.75
5:15,62.75
5:30,62.76
5:45,62.75
6:00,63.73
6:15,64.07
6:30,63.8
6:45,62.86
7:00,62.36
7:15,
7:30,
7:45,62.67
8:00,61.31
8:15,63.09
8:30,
8:45,67.5
9:00,72.39
9:15,71.69
9:30,71.2
9:45,
10:00,70.2
10:15,74.61
10:30,73.45
10:45,73.61
11:00,74
11:15,73.47
11:30,75.01
11:45,73.42
12:00,73.6
12:15,73.92
12:30,73.79
12:45,74.56
13:00,74.1
13:15,74.94
13:30,74.28
13:45,
14:00,73.3
14:15,73.06
14:30,72.9
14:45,67.75
15:00,67.34
15:15,73.24
15:30,72.77
15:45,72.53
16:00,72.41
16:15,72.34
16:30,73.32
16:45,73.99
17:00,74.31
17:15,74.12
17:30,74.01
17:45,74.07
18:00,74.67
18:15,76.86
18:30,77.09
18:45,78.44
19:00,78.73
19:15,83.62
19:30,83.96
19:45,83.08
20:00,82.59
20:15,81.88
20:30,81.28
20:45,80.69
21:00,80.9
21:15,80.95
21:30,80.87
21:45,80.93
22:00,81.99
22:15,83.02
22:30,80.74
22:45,80.82
23:00,80.82
23:15,77
23:30,76.71
23:45,77.34
