Category,Krabi
0:00,63.34
0:15,59.19
0:30,59.09
0:45,59.18
1:00,58.92
1:15,54.76
1:30,54.43
1:45,54.1
2:00,54.46
2:15,54.41
2:30,54.46
2:45,54.37
3:00,54.05
3:15,54.06
3:30,54.26
3:45,53.93
4:00,49.75
4:15,49.92
4:30,49.99
4:45,50.13
5:00,50.2
5:15,50.47
5:30,50.71
5:45,51.14
6:00,51.45
6:15,51.05
6:30,55.81
6:45,56.01
7:00,55.71
7:15,55.27
7:30,55.42
7:45,55.14
8:00,54.91
8:15,55.29
8:30,56.35
8:45,60.08
9:00,60.19
9:15,55.6
9:30,54.34
9:45,54.55
10:00,55.22
10:15,55.97
10:30,56.03
10:45,55.87
11:00,55.59
11:15,56.57
11:30,57.78
11:45,56.58
12:00,56.7
12:15,56.77
12:30,57.08
12:45,58.55
13:00,58.26
13:15,58.66
13:30,58.61
13:45,58.55
14:00,58.86
14:15,59.02
14:30,59.58
14:45,60.55
15:00,60.56
15:15,60.51
15:30,69.63
15:45,69.11
16:00,68.84
16:15,68.52
16:30,69.25
16:45,68.56
17:00,68.57
17:15,68.72
17:30,68.46
17:45,68.08
18:00,68.78
18:15,71.29
18:30,70.83
18:45,71.58
19:00,76.44
19:15,76.89
19:30,77.04
19:45,77.03
20:00,76.1
20:15,75.81
20:30,75.59
20:45,75.12
21:00,74.85
21:15,75.02
21:30,74.28
21:45,76.57
22:00,75.92
22:15,71.98
22:30,71.83
22:45,71.67
23:00,71.62
23:15,65.25
23:30,66.66
23:45,66.57
