Category,Krabi
0:00,59.48
0:15,52.53
0:30,59.14
0:45,58.97
1:00,58.94
1:15,58.63
1:30,58.7
1:45,54.73
2:00,54.81
2:15,54.47
2:30,54.64
2:45,54.62
3:00,54.43
3:15,54.71
3:30,54.46
3:45,54.38
4:00,54.3
4:15,54.31
4:30,54.5
4:45,54.49
5:00,54.53
5:15,54.94
5:30,55.48
5:45,55.72
6:00,56.02
6:15,55.76
6:30,55.68
6:45,56.17
7:00,55.17
7:15,47.34
7:30,54.82
7:45,54.46
8:00,54.86
8:15,55.28
8:30,59.66
8:45,59.76
9:00,64.2
9:15,62.53
9:30,61.02
9:45,59.6
10:00,64.06
10:15,62.82
10:30,63.24
10:45,64.87
11:00,63.34
11:15,62.96
11:30,62.95
11:45,62.85
12:00,56.42
12:15,62.52
12:30,62.74
12:45,62.93
13:00,56.55
13:15,62.48
13:30,62.84
13:45,59.78
14:00,61.81
14:15,68.68
14:30,68.6
14:45,68.49
15:00,68.33
15:15,68.02
15:30,67.75
15:45,69.15
16:00,67.79
16:15,66.75
16:30,66.7
16:45,67.17
17:00,66.9
17:15,60.87
17:30,61.13
17:45,66.73
18:00,66.89
18:15,67.45
18:30,68.4
18:45,72.02
19:00,71.99
19:15,72.91
19:30,72.88
19:45,72.64
20:00,70.9
20:15,69.12
20:30,69.31
20:45,68.96
21:00,68.05
21:15,67.91
21:30,67.81
21:45,67.52
22:00,69.23
22:15,69.99
22:30,69.89
22:45,64.07
23:00,69.09
23:15,63.49
23:30,63.14
23:45,63.02
