Category,Krabi
0:00,66.24
0:15,66.86
0:30,66.84
0:45,67.18
1:00,62.42
1:15,62.33
1:30,62.27
1:45,62.25
2:00,62.13
2:15,62.13
2:30,62.04
2:45,62.11
3:00,57.84
3:15,57.63
3:30,57.61
3:45,57.63
4:00,56.9
4:15,57.18
4:30,57.18
4:45,57.75
5:00,57.76
5:15,57.34
5:30,56.5
5:45,56.81
6:00,56.9
6:15,57.09
6:30,57.55
6:45,56.81
7:00,58.21
7:15,57.41
7:30,56.32
7:45,56.83
8:00,56.27
8:15,56.43
8:30,60.74
8:45,61.37
9:00,70.4
9:15,67.14
9:30,67.54
9:45,68.93
10:00,69.07
10:15,73.14
10:30,73.11
10:45,73.16
11:00,73.25
11:15,73.26
11:30,73.31
11:45,73.31
12:00,73.31
12:15,73.33
12:30,73.27
12:45,73.43
13:00,75.14
13:15,78.19
13:30,79.89
13:45,80.12
14:00,80.51
14:15,80.04
14:30,82.09
14:45,79.73
15:00,79.52
15:15,79.55
15:30,79.33
15:45,78.93
16:00,79.1
16:15,78.5
16:30,78.72
16:45,76.94
17:00,76.61
17:15,77.23
17:30,71.62
17:45,67.55
18:00,67.71
18:15,67.93
18:30,71.04
18:45,74.25
19:00,78.59
19:15,77.77
19:30,78.76
19:45,79.2
20:00,78.15
20:15,80.21
20:30,78.08
20:45,78.25
21:00,78.02
21:15,78.5
21:30,78.78
21:45,77.98
22:00,82.78
22:15,78.29
22:30,78.04
22:45,77.45
23:00,77.09
23:15,72.55
23:30,72.15
23:45,71.98
