Category,Krabi
0:00,41.54
0:15,41.32
0:30,41.21
0:45,41.14
1:00,41.9
1:15,42.03
1:30,41.82
1:45,41.75
2:00,42.69
2:15,41.73
2:30,42.07
2:45,41.93
3:00,41.17
3:15,41.17
3:30,33.76
3:45,34.24
4:00,34.17
4:15,34.26
4:30,34.18
4:45,33.51
5:00,33.5
5:15,33.44
5:30,33.72
5:45,35.95
6:00,36.59
6:15,42.99
6:30,44.51
6:45,44.33
7:00,44.03
7:15,43.49
7:30,43.02
7:45,43.3
8:00,42.67
8:15,42.58
8:30,45.58
8:45,46.18
9:00,44.98
9:15,45.74
9:30,45.83
9:45,49.79
10:00,50.42
10:15,49.97
10:30,49.86
10:45,49.53
11:00,49.29
11:15,49.12
11:30,49.47
11:45,49.27
12:00,49.35
12:15,49.19
12:30,49.42
12:45,49.41
13:00,48.66
13:15,49.46
13:30,48.05
13:45,48.13
14:00,48.06
14:15,48.31
14:30,48.47
14:45,47.91
15:00,49.79
15:15,52.5
15:30,53.78
15:45,55.22
16:00,55.34
16:15,54.95
16:30,54.87
16:45,49.32
17:00,49.12
17:15,49.09
17:30,49.39
17:45,48.6
18:00,48.18
18:15,48.73
18:30,53.43
18:45,54.95
19:00,55.87
19:15,54.8
19:30,56.23
19:45,56.92
20:00,56.93
20:15,57.42
20:30,58.4
20:45,58.33
21:00,58.61
21:15,58.61
21:30,58.77
21:45,58.2
22:00,52
22:15,51.75
22:30,50.91
22:45,50.89
23:00,50.85
23:15,46.26
23:30,46.07
23:45,46.12
