Category,Krabi
0:00,74.35
0:15,73.63
0:30,73
0:45,72.46
1:00,68.59
1:15,68.31
1:30,67.92
1:45,68.12
2:00,67.98
2:15,67.57
2:30,65.39
2:45,63.21
3:00,63.25
3:15,63.165
3:30,63.08
3:45,63.85
4:00,62.21
4:15,62.185
4:30,62.16
4:45,62.26
5:00,62.44
5:15,62.53
5:30,62.31
5:45,62.74
6:00,62.96
6:15,63.68
6:30,63.6
6:45,62.82
7:00,63.08
7:15,63.04
7:30,62.57
7:45,61.97
8:00,61.81
8:15,61.35
8:30,62.09
8:45,67.63
9:00,67.84
9:15,72.21
9:30,67.8
9:45,67.32
10:00,67.54
10:15,69.04
10:30,70.02
10:45,72.18
11:00,71.855
11:15,71.53
11:30,70.81
11:45,71.51
12:00,71.84
12:15,72.24
12:30,69.7
12:45,69.68
13:00,65.21
13:15,70.32
13:30,70.79
13:45,71.63
14:00,67.76
14:15,72.11
14:30,72.96
14:45,77.04
15:00,76.45
15:15,77.15
15:30,73.06
15:45,77.05
16:00,76.32
16:15,73.33
16:30,79.37
16:45,77.01
17:00,73.09
17:15,67.53
17:30,73.27
17:45,72.92
18:00,72.93
18:15,73.47
18:30,70.81
18:45,73.7
19:00,79.2
19:15,79.9
19:30,80.74
19:45,80.71
20:00,81.46
20:15,80.1
20:30,79.67
20:45,82.69
21:00,79.97
21:15,79.85
21:30,80.26
21:45,80.25
22:00,79.5
22:15,80.65
22:30,80.27
22:45,78.74
23:00,77.21
23:15,75.86
23:30,75.385
23:45,74.91
